,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
816,Inglourious Basterds,"It is the first year of Germany's occupation of France. Allied officer Lt. Aldo Raine (Brad Pitt) assembles a team of Jewish soldiers to commit violent acts of retribution against the Nazis, including the taking of their scalps. He and his men join forces with Bridget von Hammersmark, a German actress and undercover agent, to bring down the leaders of the Third Reich. Their fates converge with theater owner Shosanna Dreyfus, who seeks to avenge the Nazis' execution of her family.", English, 2h 32m, Quentin Tarantino, Lawrence Bender, Quentin Tarantino,"['Brad Pitt', 'Lt. Aldo Raine', 'Mélanie Laurent', 'Shosanna Dreyfus', 'Christoph Waltz', 'Col. Hans Landa', 'Eli Roth', 'Sgt. Donny Donowitz', 'Michael Fassbender', 'Lt. Archie Hicox', 'Diane Kruger', 'Bridget von Hammersmark']", Weinstein Co.," A Band Apart, Zehnte Babelsberg", $120.5M,89%,88%,335," War, Comedy, Drama"," Aug 21, 2009  Wide"," Dec 10, 2015",https://www.rottentomatoes.com/m/inglourious_basterds
817,Ready Or Not 2019,"Grace couldn't be happier after she marries the man of her dreams at his family's luxurious estate. There's just one catch -- she must now hide from midnight until dawn while her new in-laws hunt her down with guns, crossbows and other weapons. As Grace desperately tries to survive the night, she soon finds a way to turn the tables on her not-so-lovable relatives.", English, 1h 35m," Matt Bettinelli-Olpin, Tyler Gillett"," Tripp Vinson, James Vanderbilt, William Sherak, Bradley J. Fischer"," Guy Busick, Ryan Murphy","['Samara Weaving', 'Grace', 'Adam Brody', 'Daniel Le Domas', ""Mark O'Brien"", 'Alex Le Domas', 'Henry Czerny', 'Tony Le Domas', 'Andie MacDowell', 'Becky Le Domas', 'Melanie Scrofano', 'Emilie']", Fox Searchlight," Vinson Films, Mythology Entertainment", $28.7M,89%,78%,321," Horror, Mystery & thriller, Comedy"," Aug 21, 2019  Wide"," Aug 27, 2019",https://www.rottentomatoes.com/m/ready_or_not_2019
818,Silver Linings Playbook,"After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living with his parents (Robert De Niro, Jacki Weaver). He wants to rebuild his life and reunite with his wife, but his parents would be happy if he just shared their obsession with the Philadelphia Eagles. Things get complicated when Pat meets Tiffany (Jennifer Lawrence), who offers to help him reconnect with his wife, if he will do something very important for her in exchange.", English, 2h 2m, David O. Russell," Donna Gigliotti, Bruce Cohen, Jonathan Gordon", David O. Russell,"['Bradley Cooper', 'Pat', 'Jennifer Lawrence', 'Tiffany', 'Robert De Niro', 'Pat Sr.', 'Jacki Weaver', 'Dolores', 'Chris Tucker', 'Danny', 'Anupam Kher', 'Dr. Cliff Patel']", Weinstein Co., Weinstein Company, $132.1M,92%,86%,263," Comedy, Drama, Romance"," Nov 21, 2012  Wide"," Apr 1, 2017",https://www.rottentomatoes.com/m/silver_linings_playbook
819,500 Days Of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.", English, 1h 35m, Marc Webb," Jessica Tuchinsky, Mark Waters, Mason Novick, Steven J. Wolfe"," Scott Neustadter, Michael H. Weber","['Joseph Gordon-Levitt', 'Tom', 'Zooey Deschanel', 'Summer', 'Geoffrey Arend', 'McKenzie', 'Chloë Grace Moretz', 'Rachel', 'Matthew Gray Gubler', 'Paul', 'Clark Gregg', 'Vance']", Fox, Watermark, $32.4M,85%,84%,233," Comedy, Drama, Romance"," Aug 7, 2009  Wide"," Mar 1, 2013",https://www.rottentomatoes.com/m/500_days_of_summer
820,Birdman 2014,"Former cinema superhero Riggan Thomson (Michael Keaton) is mounting an ambitious Broadway production that he hopes will breathe new life into his stagnant career. It's risky, but he hopes that his creative gamble will prove that he's a real artist and not just a washed-up movie star. As opening night approaches, a castmate is injured, forcing Riggan to hire an actor (Edward Norton) who is guaranteed to shake things up. Meanwhile, Riggan must deal with his girlfriend, daughter and ex-wife.", English, 1h 59m, Alejandro González Iñárritu," Alejandro González Iñárritu, John Lesher, Arnon Milchan, James W. Skotchdopole"," Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bo","['Michael Keaton', 'Riggan', 'Zach Galifianakis', 'Jake', 'Ed Norton', 'Mike', 'Andrea Riseborough', 'Laura', 'Amy Ryan', 'Sylvia', 'Emma Stone', 'Sam']", Fox Searchlight," New Regency Pictures, Le Grisbi, M Prods", $42.3M,91%,78%,362," Comedy, Drama"," Jan 16, 2015  Wide"," Aug 1, 2016",https://www.rottentomatoes.com/m/birdman_2014
821,Her,"A sensitive and soulful man earns a living by writing personal letters for other people. Left heartbroken after his marriage ends, Theodore (Joaquin Phoenix) becomes fascinated with a new operating system which reportedly develops into an intuitive and unique entity in its own right. He starts the program and meets ""Samantha"" (Scarlett Johansson), whose bright voice reveals a sensitive, playful personality. Though ""friends"" initially, the relationship soon deepens into love.", English, 1h 59m, Spike Jonze," Megan Ellison, Spike Jonze, Vincent Landay", Spike Jonze,"['Joaquin Phoenix', 'Theodore', 'Amy Adams', 'Amy', 'Scarlett Johansson', 'Samantha Voice', 'Rooney Mara', 'Catherine', 'Chris Pratt', 'Paul', 'Olivia Wilde', 'Blind Date']", Warner Bros. Pictures, Annapurna Pictures, $25.6M,94%,82%,294," Comedy, Drama, Romance"," Jan 10, 2014  Wide"," Sep 28, 2015",https://www.rottentomatoes.com/m/her
822,Theater Camp,"Tony Award winner Ben Platt and Molly Gordon star in the new original comedy Theater Camp as Amos and Rebecca-Diane -- lifelong best friends and drama instructors at a rundown camp in upstate New York. When clueless tech-bro Troy (Jimmy Tatro) arrives to run the property (into the ground), Amos, Rebecca-Diane and production manager Glenn (Noah Galvin) band together with the staff and students to stage a masterpiece, and keep their beloved summer camp afloat.", English, 1h 34m," Molly Gordon, Nick Lieberman"," Erik Feig, Samie Kim Falvey, Julia Hammer, Ryan Heller, Maria Zuckerman, Jessica Elbaum, Will Ferrell, Noah Galvin, Molly Gordon, Nick Lieberman, Ben Platt"," Noah Galvin, Molly Gordon, Nick Lieberman, Ben Platt","['Noah Galvin', 'Glenn Winthrop', 'Molly Gordon', 'Rebecca-Diane', 'Ben Platt', 'Amos Klobuchar', 'Jimmy Tatro', 'Troy Rubinsky', 'Patti Harrison', 'Caroline Krauss', 'Nathan Lee Graham', 'Clive DeWitt']", Searchlight Pictures," Picturestart, Gloria Sanchez Productions, Topic Studios", $4.0M,86%,79%,171," Comedy, Drama"," Aug 4, 2023  Wide"," Sep 14, 2023",https://www.rottentomatoes.com/m/theater_camp
823,Crazy Stupid Love 2011,"Cal Weaver (Steve Carell) is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily (Julianne Moore). Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer (Ryan Gosling), a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.", English, 1h 58m," Glenn Ficarra, John Requa"," Steve Carell, Denise Di Novi", Dan Fogelman,"['Steve Carell', 'Cal Weaver', 'Ryan Gosling', 'Jacob Palmer', 'Julianne Moore', 'Emily Weaver', 'Emma Stone', 'Hannah', 'Lio Tipton', 'Jessica Riley', 'Jonah Bobo', 'Robbie Weaver']", Warner Bros. Pictures," Carousel, DiNovi Pictures", $84.3M,79%,78%,239," Romance, Comedy"," Jul 29, 2011  Wide"," Apr 13, 2016",https://www.rottentomatoes.com/m/crazy_stupid_love_2011
824,Lost In Translation,"A lonely, aging movie star named Bob Harris (Bill Murray) and a conflicted newlywed, Charlotte (Scarlett Johansson), meet in Tokyo. Bob is there to film a Japanese whiskey commercial; Charlotte is accompanying her celebrity-photographer husband. Strangers in a foreign land, the two find escape, distraction and understanding amidst the bright Tokyo lights after a chance meeting in the quiet lull of the hotel bar. They form a bond that is as unlikely as it is heartfelt and meaningful.", English, 1h 42m, Sofia Coppola," Sofia Coppola, Ross Katz", Sofia Coppola,"['Bill Murray', 'Bob Harris', 'Scarlett Johansson', 'Charlotte', 'Giovanni Ribisi', 'John', 'Anna Faris', 'Kelly', 'Fumihiro Hayashi', 'Charlie', 'Catherine Lambert', 'Jazz Singer']", Focus Features," American Zoetrope, Elemental Films", $44.6M,95%,85%,235," Comedy, Drama"," Sep 19, 2003  Wide"," Jun 15, 2012",https://www.rottentomatoes.com/m/lost_in_translation
825,Jojo Rabbit,Jojo is a lonely German boy who discovers that his single mother is hiding a Jewish girl in their attic. Aided only by his imaginary friend -- Adolf Hitler -- Jojo must confront his blind nationalism as World War II continues to rage on., English, 1h 48m, Taika Waititi," Carthew Neal, Taika Waititi, Chelsea Winstanley", Taika Waititi,"['Roman Griffin Davis', 'Jojo', 'Thomasin McKenzie', 'Elsa', 'Scarlett Johansson', 'Rosie', 'Taika Waititi', 'Adolf', 'Sam Rockwell', 'Captain Klenzendorf', 'Rebel Wilson', 'Fraulein Rahm']", Fox Searchlight, Unison Films, $33.4M,80%,94%,430," Comedy, Drama"," Nov 8, 2019  Wide"," Nov 8, 2019",https://www.rottentomatoes.com/m/jojo_rabbit
