,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
642,The Theory Of Everything 2014,"In the 1960s, Cambridge University student and future physicist Stephen Hawking (Eddie Redmayne) falls in love with fellow collegian Jane Wilde (Felicity Jones). At 21, Hawking learns that he has motor neuron disease. Despite this -- and with Jane at his side -- he begins an ambitious study of time, of which he has very little left, according to his doctor. He and Jane defy terrible odds and break new ground in the fields of medicine and science, achieving more than either could hope to imagine.", English, 2h 3m, James Marsh," Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten", Anthony McCarten,"['Eddie Redmayne', 'Stephen Hawking', 'Felicity Jones', 'Jane', 'Emily Watson', ""Jane's Mother"", 'David Thewlis', 'Dennis Sciama', 'Charlie Cox', 'Jonathan Hellyer Jones', 'Simon McBurney', ""Stephen's Father""]", Focus Features, Working Title Films, $35.9M,80%,84%,273," Biography, Drama, Romance"," Nov 7, 2014  Limited"," Dec 9, 2015",https://www.rottentomatoes.com/m/the_theory_of_everything_2014
643,Cinderella Man,"During the Great Depression, ex-boxer James J. Braddock (Russell Crowe) works as a day laborer until his former manager Joe Gould (Paul Giamatti) offers him a one-time slot against a rising young contender. After he wins a shocking upset, Braddock goes back into the ring full time, against the wishes of his frightened wife, Mae (Renée Zellweger). Dubbed ""The Cinderella Man"" for his rags-to-riches story, Braddock sets his sights on the defending champion, the fearsome Max Baer (Craig Bierko).", English, 2h 24m, Ron Howard, Brian Grazer," Akiva Goldsman, Cliff Hollingsworth","['Russell Crowe', 'Jim Braddock', 'Renée Zellweger', 'Mae Braddock', 'Paul Giamatti', 'Joe Gould', 'Craig Bierko', 'Max Baer', 'Paddy Considine', 'Mike Wilson', 'Bruce McGill', 'Jimmy Johnston']", Universal Pictures, Imagine Entertainment, $61.6M,80%,91%,210," Biography, Drama"," Jun 3, 2005  Wide"," Nov 20, 2015",https://www.rottentomatoes.com/m/cinderella_man
644,1212694-Blind Side,"Michael Oher (Quinton Aaron), a homeless black teen, has drifted in and out of the school system for years. Then Leigh Anne Tuohy (Sandra Bullock) and her husband, Sean (Tim McGraw), take him in. The Tuohys eventually become Michael's legal guardians, transforming both his life and theirs. Michael's tremendous size and protective instincts make him a formidable force on the gridiron, and with help from his new family and devoted tutor, he realizes his potential as a student and football player.", English, 2h 8m, John Lee Hancock," Gil Netter, Broderick Johnson, Andrew A. Kosove", John Lee Hancock,"['Sandra Bullock', 'Leigh Anne Tuohy', 'Tim McGraw', 'Sean Tuohy', 'Quinton Aaron', 'Michael Oher', 'Jae Head', 'S.J.', 'Lily Collins', 'Collins', 'Ray McKinnon', 'Coach Cotton']", Warner Bros., Gil Netter, $256.0M,66%,85%,206," Drama, Biography"," Nov 20, 2009  Wide"," Oct 1, 2013",https://www.rottentomatoes.com/m/1212694-blind_side
645,Walk The Line,"The rise of country music legend Johnny Cash (Joaquin Phoenix) begins with his days as a boy growing up on the family farm, where he struggles under the scorn of his father (Robert Patrick). As the years pass, Cash ends up in Memphis, Tenn., with his wife, Vivian (Ginnifer Goodwin), and breaks into the music scene after finding his trademark sound. While on tour, Cash meets the love of his life, singer June Carter (Reese Witherspoon), but Cash's volatile lifestyle threatens to keep them apart.", English, 2h 16m, James Mangold," Cathy Konrad, James Keach"," James Mangold, Gill Dennis","['Joaquin Phoenix', 'Johnny Cash', 'Reese Witherspoon', 'June Carter', 'Ginnifer Goodwin', 'Vivian Cash', 'Robert Patrick', 'Ray Cash', 'Dallas Roberts', 'Sam Phillips', 'Dan John Miller', 'Luther Perkins']", 20th Century Fox," Fox 2000 Pictures, Catfish Productions, Konrad Pictures", $119.5M,82%,90%,209," Biography, History, Drama, Music, Romance"," Nov 18, 2005  Wide"," Sep 18, 2012",https://www.rottentomatoes.com/m/walk_the_line
646,Miss Potter,"Beatrix Potter (Renée Zellweger) overcomes many obstacles in her quest to become a writer, including a domineering mother and the chauvinism prevalent in Victorian England. She falls in love with her publisher, Norman Warne (Ewan McGregor), and his marriage proposal and a subsequent tragedy change her life forever.", English, 1h 32m, Chris Noonan," David Kirschner, Mike Medavoy, Arnold Messer, Corey Sienega, David Thwaites", Richard Maltby Jr.,"['Renée Zellweger', 'Beatrix Potter', 'Ewan McGregor', 'Norman Warne', 'Emily Watson', 'Millie Warne', 'Barbara Flynn', 'Helen Potter', 'Bill Paterson', 'Rupert Potter', 'Matyelok Gibbs', 'Miss Wiggin']", Metro-Goldwyn-Mayer," Grosvenor Park Productions, Phoenix Pictures, UK Film Council, David Kirschner Productions", $3.0M,69%,68%,131," Biography, Drama, Romance"," Dec 29, 2006  Original"," Nov 15, 2016",https://www.rottentomatoes.com/m/miss_potter
647,Bronson,"In this drama based on a true story, there's no one tougher or more brutal in the English penal system than prisoner Michael Peterson, aka Charles Bronson (Tom Hardy). First incarcerated after robbing a jewelry store, the married Bronson is sentenced to seven years. But his incorrigible, savage behavior quickly gets him in trouble with guards, fellow inmates and even a dog. The only place where Bronson can't do any harm is in solitary confinement, where he spends most of his time.", English, 1h 32m, Nicolas Winding Refn," Rupert Preston, Daniel Hansford"," Nicolas Winding Refn, Brock Norman Brock","['Tom Hardy', 'Charles Bronson , Michael Peterson', 'Kelly Adams', 'Irene', 'Luing Andrews', 'Hysterical Screw', 'Katy Barker', 'Julie', 'Amanda Burton', ""Charlie's Mum"", 'Mark Devenport', 'Nurse 1']", Magnolia Pictures," Perfume Films, Str8jacket Creations, Vertigo Films, Aramid Entertainment Fund, EM Media, 4DH Films", $104.8K,75%,74%,81," Biography, Drama"," Oct 9, 2009  Limited"," Jan 7, 2017",https://www.rottentomatoes.com/m/bronson
648,Last Emperor,"This sweeping account of the life of Pu Yi (John Lone), the last emperor of China, follows the leader's tumultuous reign. After being captured by the Red Army as a war criminal in 1950, Pu Yi recalls his childhood from prison. He remembers his lavish youth in the Forbidden City, where he was afforded every luxury but unfortunately sheltered from the outside world and complex political situation surrounding him. As revolution sweeps through China, the world Pu Yi knew is dramatically upended.", English, 2h 42m, Bernardo Bertolucci, Jeremy Thomas," Mark Peploe, Bernardo Bertolucci, Henry Pu-yi","['John Lone', 'Emperor (Henry) Pu Yi', 'Joan Chen', 'Empress (Elizabeth) Wan Jung', ""Peter O'Toole"", ""Reginald Fleming 'R.J.' Johnston"", 'Ying Ruocheng', 'The Governor', 'Victor Wong', 'Chen Pao Shen', 'Dennis Dun', 'Big Li, valet']"," Columbia Pictures, Artisan Entertainment"," Recorded Picture Company (RPC), Hemdale Studios", $43.0M,86%,88%,124," Biography, History, Drama"," Nov 18, 1987  Original"," Nov 15, 2016",https://www.rottentomatoes.com/m/last_emperor
649,True History Of The Kelly Gang,An exploration of Australian bushranger Ned Kelly and his gang as they attempt to evade authorities during the 1870s., English (Australia), 2h 4m, Justin Kurzel," Liz Watts, Hal Vogel, Paul Ranford", Shaun Grant,"['George MacKay', 'Ned Kelly', 'Russell Crowe', 'Harry Power', 'Nicholas Hoult', 'Constable Fitzpatrick', 'Essie Davis', 'Ellen Kelly', 'Charlie Hunnam', ""Sergeant O'Neil"", 'Thomasin McKenzie', 'Mary Hearn']", IFC Films," Screen Australia, Film4, Porchlight Films, Film Victoria, Daybreak Pictures, La Cinéfacture", $33.8K,80%,41%,167," Crime, Drama, Biography"," Apr 24, 2020  Limited"," Apr 20, 2020",https://www.rottentomatoes.com/m/true_history_of_the_kelly_gang
650,Monster,"Shortly after moving to Florida, longtime prostitute Aileen Wuornos (Charlize Theron) meets young and reserved Selby Wall (Christina Ricci) and a romance blossoms. When a john (Lee Tergesen) attempts to brutalize Aileen, she kills him and resolves to give up prostitution. But supporting herself and her new girlfriend through legitimate means proves extremely difficult, and she soon falls back on old ways. More johns die, and Selby can't help but think her new friend is responsible.", English, 1h 49m, Patty Jenkins," Mark Damon, Clark Peterson, Charlize Theron, Donald Kushner, Brad Wyman", Patty Jenkins,"['Charlize Theron', 'Aileen Wuornos', 'Christina Ricci', 'Selby Wall', 'Bruce Dern', 'Thomas', 'Scott Wilson', 'Horton', 'Pruitt Taylor Vince', 'Gene', 'Lee Tergesen', 'Vincent Corey']", Newmarket Film Group," K/W Productions, MDP Worldwide, Denver and Delilah Productions, DEJ Productions, Zodiac Productions Inc.", $34.5M,82%,81%,190," Biography, Crime, Drama, Lgbtq+"," Jan 30, 2004  Wide"," Apr 16, 2015",https://www.rottentomatoes.com/m/monster
651,Steve Jobs 2015,"With public anticipation running high, Apple Inc. co-founders Steve Jobs (Michael Fassbender) and Steve ""Woz"" Wozniak get ready to unveil the first Macintosh in 1984. Jobs must also deal with personal issues related to ex-girlfriend Chrisann Brennan and their young daughter Lisa. Eventually fired, Jobs launches NeXT Inc. and prepares to release a new computer model in 1988. Ten years later, Jobs is back at Apple Inc. and about to revolutionize the industry once again with the iMac.", English, 2h 1m, Danny Boyle," Mark Gordon, Guymon Casady, Scott Rudin, Danny Boyle, Christian Colson", Aaron Sorkin,"['Michael Fassbender', 'Steve Jobs', 'Kate Winslet', 'Joanna Hoffman', 'Seth Rogen', 'Steve Wozniak', 'Jeff Daniels', 'John Sculley', 'Michael Stuhlbarg', 'Andy Hertzfeld', 'Katherine Waterston', 'Chrisann Brennan']", Universal Pictures," Decibel Films, Scott Rudin Productions, Mark Gordon Productions, Entertainment 360, Cloud Eight", $17.8M,85%,73%,317," Biography, Drama"," Oct 23, 2015  Wide"," Sep 6, 2016",https://www.rottentomatoes.com/m/steve_jobs_2015
652,Mary Queen Of Scots,"Queen of France at 16 and widowed at 18, Mary Stuart defies pressure to remarry. Instead, she returns to her native Scotland to reclaim her rightful throne. But Scotland and England fall under the rule of the compelling Elizabeth I. Each young Queen beholds her sister in fear and fascination. Rivals in power and in love, and female regents in a masculine world, the two must decide how to play the game of marriage versus independence.", English (United Kingdom), 2h 4m, Josie Rourke," Tim Bevan, Eric Fellner, Debra Hayward", Beau Willimon,"['Saoirse Ronan', 'Mary Stuart', 'Margot Robbie', 'Queen Elizabeth I', 'Jack Lowden', 'Lord Darnley', 'Joe Alwyn', 'Robert Dudley', 'David Tennant', 'John Knox', 'Guy Pearce', 'Sir William Cecil']", Focus Features," Focus Features, Working Title Films, Perfect World Pictures", $16.4M,62%,41%,296," Biography, History, Drama"," Dec 21, 2018  Wide"," Feb 19, 2019",https://www.rottentomatoes.com/m/mary_queen_of_scots
653,The Infiltrator,"In 1986, federal agent Robert Mazur (Bryan Cranston) goes under cover to infiltrate the trafficking network of Colombian drug kingpin Pablo Escobar. Working with fellow agents Kathy Ertz (Diane Kruger) and Emir Abreu (John Leguizamo), Mazur poses as a slick, money-laundering businessman named Bob Musella. Gaining the confidence of Roberto Alcaino (Benjamin Bratt), Escobar's top lieutenant, Mazur must navigate a vicious criminal underworld where one wrong move could cost him everything.", English, 2h 7m, Brad Furman," Paul Brennan, Brad Furman, Miriam Segal, Don Sikorski", Ellen Sue Brown,"['Bryan Cranston', 'Robert Mazur', 'Diane Kruger', 'Kathy Ertz', 'John Leguizamo', 'Emir Abreu', 'Amy Ryan', 'Bonni Tischler', 'Jason Isaacs', 'Mark Jackowski', 'Joseph Gilgun', 'Dominic']", Broad Green Pictures, Good Films, $15.4M,71%,71%,181," Crime, Drama, Mystery & thriller, Biography"," Jul 13, 2016  Wide"," Oct 11, 2016",https://www.rottentomatoes.com/m/the_infiltrator
654,Race 2016,"Young Jesse Owens (Stephan James) becomes a track and field sensation while attending the Ohio State University in the early 1930s. With guidance from coach Larry Snyder (Jason Sudeikis), Owens gains national recognition for breaking numerous records. After heated debates, the United States decides not to boycott the Olympics in Nazi Germany. Overcoming racism at home and abroad, Owens seizes the opportunity to show Berlin and the the world that he's the fastest man alive.", English, 2h 14m, Stephen Hopkins," Jean-Charles Levy, Luc Dayan, Louis-Philippe Rochon, Dominique Séguin, Stephen Hopkins, Kate Garwood, Karsten Brünig, Nicolas Manuel"," Joe Shrapnel, Anna Waterhouse","['Stephan James', 'Jesse Owens', 'Jason Sudeikis', 'Larry Snyder', 'Eli Goree', 'Dave Albritton', 'Shanice Banton', 'Ruth Solomon', 'Carice van Houten', 'Leni Riefenstahl', 'Jeremy Irons', 'Avery Brundage']", Focus Features," Forecast Pictures, Trinity Race, Solofilms", $19.1M,63%,77%,160," Biography, History, Drama"," Feb 19, 2016  Wide"," Oct 4, 2016",https://www.rottentomatoes.com/m/race_2016
655,Maudie,Canadian folk artist Maud Lewis develops an unlikely romance with reclusive fishmonger Everett Lewis., English, 1h 55m, Aisling Walsh," Bob Cooper, Susan Mullen, Mary Sexton", Sherry White,"['Sally Hawkins', 'Maud Lewis', 'Ethan Hawke', 'Everett Lewis', 'Kari Matchett', 'Sandra', 'Gabrielle Rose', 'Aunt Ida', 'Zachary Bennett', 'Charles Dowley', 'Billy MacLellan', 'Frank Davis']", Sony Pictures Classics," Rink Rat Productions, Parallel Films, Screen Door", $6.2M,89%,88%,152," Biography, History, Drama, Romance"," Jun 16, 2017  Limited"," Oct 3, 2017",https://www.rottentomatoes.com/m/maudie
656,1042135-Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.", English, 3h 21m, Spike Lee," Spike Lee, Marvin Worth"," Alex Haley, Malcolm X, Arnold Perl, Spike Lee","['Denzel Washington', 'Malcolm X', 'Angela Bassett', 'Betty Shabazz', 'Albert Hall', 'Baines', 'Al Freeman Jr.', 'Elijah Muhammad', 'Delroy Lindo', 'West Indian Archie', 'Theresa Randle', 'Laura']", Warner Bros. Pictures," 40 Acres & A Mule Filmworks, Largo International N.V., JVC Entertainment", $47.1M,88%,91%,76," Biography, History, Drama"," Nov 18, 1992  Wide"," Jan 25, 2011",https://www.rottentomatoes.com/m/1042135-malcolm_x
657,Dont Worry He Wont Get Far On Foot,"After nearly dying in a car accident, the last thing Oregon slacker John Callahan intends to do is give up alcohol. Encouraged by his girlfriend and a charismatic sponsor, Callahan reluctantly enters a treatment program and discovers that he has a knack for drawing. The budding artist soon finds himself with a new lease on life when his edgy and irreverent newspaper cartoons gain a national and devoted following.", English, 1h 53m, Gus Van Sant," Charles-Marie Anthonioz, Mourad Belkeddar, Steve Golin, Nicolas Lhermitte", Gus Van Sant,"['Joaquin Phoenix', 'John Callahan', 'Jonah Hill', 'Donnie', 'Rooney Mara', 'Annu', 'Jack Black', 'Dexter', 'Carrie Brownstein', 'Suzanne', 'Beth Ditto', 'Reba']", Amazon Studios," Iconoclast, Big Indie Pictures, Anonymous Content", $1.4M,77%,75%,192," Biography, Comedy, Drama"," Jul 13, 2018  Limited"," Oct 2, 2018",https://www.rottentomatoes.com/m/dont_worry_he_wont_get_far_on_foot
658,Worlds Fastest Indian,"New Zealander Burt Munro spent years perfecting his classic Indian motorcycle. The year is 1967, and Burt takes his machine to Utah's salt flats, where he attempts the impossible, using his dream bike to set a new world's record for speed. Based on a true story, the record Munro set more than three decades ago still has not been broken to this day.", English, 2h 7m, Roger Donaldson," Roger Donaldson, Gary Hannam", Roger Donaldson,"['Anthony Hopkins', 'Burt Munro', 'Diane Ladd', 'Ada', 'Paul Rodriguez', 'Fernando', 'Bruce Greenwood', 'Jerry', 'Christopher Lawford', 'Jim Moffet', 'Jessica Cauffiel', 'Wendy']", Magnolia Pictures, 3 Dogs and a Pony, $5.1M,82%,89%,143," Biography, Drama"," Dec 7, 2005  Original"," Feb 17, 2017",https://www.rottentomatoes.com/m/worlds_fastest_indian
659,Benedetta,"Based on a true story, a 17th-century nun becomes entangled in a forbidden lesbian affair with a novice. But it is Benedetta's shocking religious visions that threaten to shake the Church to its core.", French (France), 2h 6m, Paul Verhoeven," Saïd Ben Saïd, Michel Merkt, Jérôme Seydoux"," David Birke, Paul Verhoeven","['Virginie Efira', 'Benedetta Carlini', 'Charlotte Rampling', ""Soeur Felicita, l'abbesse"", 'Lambert Wilson', 'Le Nonce', 'Daphne Patakia', 'Bartolomea', 'Olivier Rabourdin', 'Alfonso Cecchi', 'Hervé Pierre', 'Paolo Ricordati']", IFC Films," Belga Productions, France 3 Cinéma, SBS Productions, France 2 Cinéma, Pathé, Topkapi Films", $354.3K,84%,90%,200," History, Drama, Biography, Lgbtq+"," Dec 3, 2021  Limited"," Dec 21, 2021",https://www.rottentomatoes.com/m/benedetta
660,Big Eyes,"In the late 1950s and early '60s, artist Walter Keane (Christoph Waltz) achieves unbelievable fame and success with portraits of saucer-eyed waifs. However, no one realizes that his wife, Margaret (Amy Adams), is the real painter behind the brush. Although Margaret is horrified to learn that Walter is passing off her work as his own, she is too meek to protest too loudly. It isn't until the Keanes' marriage comes to an end and a lawsuit follows that the truth finally comes to light.", English, 1h 46m, Tim Burton," Tim Burton, Lynette Howell Taylor, Scott Alexander, Larry Karaszewski"," Scott Alexander, Larry Karaszewski","['Amy Adams', 'Margaret Keane', 'Christoph Waltz', 'Walter Keane', 'Danny Huston', 'Dick Nolan', 'Krysten Ritter', 'Dee Ann', 'Jason Schwartzman', 'Ruben', 'Terence Stamp', 'John Canaday']", Weinstein Co.," Tim Burton, Electric City Entertainment", $14.5M,72%,68%,198," Biography, Drama"," Dec 25, 2014  Limited"," Oct 25, 2016",https://www.rottentomatoes.com/m/big_eyes
661,A Compassionate Spy,"Directed by two-time Oscar® nominated filmmaker Steve James (HOOP DREAMS, LIFE ITSELF), A COMPASSIONATE SPY is a gripping real-life spy thriller about controversial Manhattan Project physicist Ted Hall, who infamously provided nuclear secrets to the Soviet Union, told through the perspective of his loving wife Joan, who protected his secret for decades. Recruited in 1944 as an 18-year-old Harvard undergraduate to help Robert Oppenheimer and his team create a bomb, Hall was the youngest physicist on the Manhattan Project, and didn't share his colleagues' elation after the successful detonation of the world's first atomic bomb. Concerned that a U.S. post-war monopoly on such a powerful weapon could lead to nuclear catastrophe, Hall began passing key information about the bomb's construction to the Soviet Union. After the war, he met, fell in love with, and married Joan, a fellow student with whom he shared a passion for classical music and socialist causes -- and the explosive secret of his espionage. The pair raised a family while living under a cloud of suspicion and years of FBI surveillance and intimidation. A COMPASSIONATE SPY reveals the twists and turns of this real-life spy story, its profound impact on nuclear history, and the couple's remarkable love and life together during more than 50 years of marriage.", English, 1h 41m, Steve James," Mark Mitten, David Lindorff, Steve James", Steve James,"['Steve James', 'Director', 'Steve James', 'Screenwriter', 'Mark Mitten', 'Producer', 'David Lindorff', 'Producer', 'Steve James', 'Producer', 'Jeff Skoll', 'Executive Producer']", Magnolia Pictures," Kartemquin Films, Participant, Mitten Media", $34.5K,81%,76%,48," Documentary, Biography, History"," Aug 4, 2023  Limited"," Aug 4, 2023",https://www.rottentomatoes.com/m/a_compassionate_spy
662,Boy Erased,"Jared Eamons, the son of a small-town Baptist pastor, must overcome the fallout after being outed as gay to his parents. His father and mother struggle to reconcile their love for their son with their beliefs. Fearing a loss of family, friends and community, Jared is pressured into attending a conversion therapy program. While there, Jared comes into conflict with its leader and begins his journey to finding his own voice and accepting his true self.", English, 1h 55m, Joel Edgerton," Kerry Kohansky-Roberts, Steve Golin, Joel Edgerton", Joel Edgerton,"['Lucas Hedges', 'Jared Eamons', 'Nicole Kidman', 'Nancy Eamons', 'Joel Edgerton', 'Victor Sykes', 'Russell Crowe', 'Marshall Eamons', 'Flea', 'Brandon', 'Joe Alwyn', 'Henry']", Focus Features," Blue-Tongue Films, Anonymous Content", $6.7M,81%,74%,267," Biography, Drama, Lgbtq+"," Nov 16, 2018  Wide"," Jan 15, 2019",https://www.rottentomatoes.com/m/boy_erased
663,Hotel Rwanda,"Hutu Paul Rusesabagina manages the Hôtel des Mille Collines and lives a happy life with his Tutsi wife and their three children, but when Hutu military forces initiate a campaign of ethnic cleansing against the Tutsi minority, Paul is compelled to allow refugees to take shelter in his hotel. As the U.N. pulls out, Paul must struggle alone to protect the Tutsi refugees in the face of the escalating violence later known as the Rwandan genocide.", English, 2h 1m, Terry George," A. Kitman Ho, Terry George"," Terry George, Keir Pearson","['Don Cheadle', 'Paul Rusesabagina', 'Sophie Okonedo', 'Tatiana Rusesabagina', 'Joaquin Phoenix', 'Jack', 'Nick Nolte', 'Colonel Oliver', 'Desmond Dube', 'Dube', ""David O'Hara"", 'David']", United Artists, United Artists, $23.5M,91%,94%,191," Biography, History, Drama"," Dec 22, 2004  Wide"," Nov 30, 2016",https://www.rottentomatoes.com/m/hotel_rwanda
664,Searching For Bobby Fischer,"After he beats his dad (Joe Mantegna) in a chess match, Josh Waitzkin (Max Pomeranc), a 7-year-old, gets noticed for his talent. He becomes interested in speed chess at the park and learns the game from a hustler named Vinnie (Laurence Fishburne). However, Josh's parents invest in the services of Bruce (Ben Kingsley), a famous coach who has very different practices. Between Bruce's methods and the stress of the competitions, Josh learns that even a chess prodigy cannot make all the right moves.", English, 1h 50m, Steven Zaillian," William Horberg, Scott Rudin", Steven Zaillian,"['Joe Mantegna', 'Fred Waitzkin', 'Max Pomeranc', 'Josh Waitzkin', 'Joan Allen', 'Bonnie Waitzkin', 'Ben Kingsley', 'Bruce Pandolfini', 'Laurence Fishburne', 'Vinnie', 'Michael Nirenberg', 'Jonathan Poe']"," Argentina Video Home, Paramount Pictures", Mirage Entertainment, $7.9M,100%,86%,45," Biography, Drama"," Aug 11, 1993  Wide"," Jan 1, 2011",https://www.rottentomatoes.com/m/searching_for_bobby_fischer
665,Ed Wood,"Because of his eccentric habits and bafflingly strange films, director Ed Wood (Johnny Depp) is a Hollywood outcast. Nevertheless, with the help of the formerly famous Bela Lugosi and a devoted cast and crew of show-business misfits who believe in Ed's off-kilter vision, the filmmaker is able to bring his oversize dreams to cinematic life. Despite a lack of critical or commercial success, Ed and his friends manage to create an oddly endearing series of extremely low-budget films.", English, 2h 4m, Tim Burton," Tim Burton, Denise Di Novi"," Scott Alexander, Larry Karaszewski","['Johnny Depp', 'Edward D. Wood, Jr.', 'Martin Landau', 'Bela Lugosi', 'Sarah Jessica Parker', 'Dolores Fuller', 'Patricia Arquette', ""Kathy O'Hara"", 'Jeffrey Jones', 'Criswell', 'G.D. Spradlin', 'Reverend Lemon']", Buena Vista Pictures, Touchstone Pictures, $5.9M,92%,88%,73," Biography, Comedy, Drama"," Sep 28, 1994  Wide"," Jan 1, 2014",https://www.rottentomatoes.com/m/ed_wood
666,Thank You For Your Service 2017,"Sgt. Adam Schumann tries to readjust to civilian life after returning home from the war in Iraq. Fellow soldier Tausolo Aeiti must deal with the aftermath of a bombing that left him with a traumatic brain injury. Will Waller searches for normalcy after surviving several explosions, while Michael Emory must deal with the effects of a sniper's bullet to the head. With memories of the battlefield still lingering, the soldiers soon begin their long journey to physical and emotional rehabilitation.", English, 1h 48m, Jason Hall, Jon Kilik, Jason Hall,"['Miles Teller', 'Sergeant Adam Schumann', 'Haley Bennett', 'Saskia Schumann', 'Joe Cole', 'Will Waller', 'Amy Schumer', 'Amanda Doster', 'Beulah Koale', 'Tausolo Aeiti', 'Scott Haze', 'Michael Emory']", Universal Pictures," DreamWorks, Reliance Entertainment", $9.4M,76%,73%,114," War, Biography, Drama"," Oct 27, 2017  Wide"," Oct 30, 2018",https://www.rottentomatoes.com/m/thank_you_for_your_service_2017
667,Colette 2018,"After moving to Paris, author Sidonie-Gabrielle Colette agrees to ghostwrite a semi-autobiographical novel for her husband. Its success soon inspires her to fight for creative ownership and overcome the societal constraints of the early 20th century.", English, 1h 51m, Wash Westmoreland," Elizabeth Karlsen, Stephen Woolley, Pamela Koffler, Christine Vachon, Michel Litvak, Gary Michael Walters"," Richard Glatzer, Wash Westmoreland, Rebecca Lenkiewicz","['Keira Knightley', 'Colette', 'Dominic West', 'Willy', 'Denise Gough', 'Missy', 'Fiona Shaw', 'Sido', 'Eleanor Tomlinson', 'Georgie Raoul-Duval', 'Robert Pugh', 'Jules']"," Bleecker Street Media, 30West"," Killer Films, Number 9 Films", $5.1M,87%,69%,231," Biography, History, Drama"," Oct 12, 2018  Wide"," Dec 4, 2018",https://www.rottentomatoes.com/m/colette_2018
668,Eddie The Eagle,"Cut from the Olympic ski team, British athlete Michael ""Eddie"" Edwards travels to Germany to test his skills at ski jumping. Fate leads him to Bronson Peary, a former ski jumper who now works as a snowplow driver. Impressed by Edwards' spirit and determination, Peary agrees to train the young underdog. Despite an entire nation counting him out, Eddie's never-say-die attitude takes him all the way to a historic and improbable showing at the 1988 Winter Olympics in Calgary, Alberta.", English, 1h 45m, Dexter Fletcher," Matthew Vaughn, Adam Bohling, David Reid, Rupert Maconick, Valerie Van Galder"," Sean Macaulay, Simon Kelton","['Taron Egerton', 'Eddie Edwards', 'Hugh Jackman', 'Bronson Peary', 'Jo Hartley', 'Janette Edwards', 'Tom Costello', 'Eddie (10 years old)', 'Jack Costello', 'Eddie (15 years old)', 'Mark Benton', 'Richmond the BOA Official']", 20th Century Fox," Matthew Vaughn, Saville Productions, Studio Babelsberg", $15.8M,81%,82%,205," Biography, Comedy, Drama"," Feb 26, 2016  Wide"," May 27, 2016",https://www.rottentomatoes.com/m/eddie_the_eagle
669,Lansky 2021,"David Stone (Sam Worthington), a renowned but down-on-his-luck writer, has the opportunity of a lifetime when he receives a surprise call from Meyer Lansky (Academy Award nominee Harvey Keitel). For decades, authorities have been trying to locate Lansky's alleged nine-figure fortune and this is their last chance to capture the aging gangster before he dies. With the FBI close behind, the Godfather of organized crime reveals the untold truth about his life as the notorious boss of Murder Inc. and the National Crime Syndicate.", English, 1h 59m, Eytan Rockaway," Eric Binns, Lee Broda, Jeff Hoffman, Robert Ogden Barnum", Eytan Rockaway,"['Harvey Keitel', 'Meyer Lansky', 'Sam Worthington', 'David Stone', 'John Magaro', 'Meyer Lansky', 'AnnaSophia Robb', 'Anne Lansky', 'Minka Kelly', 'Maureen', 'David James Elliott', 'Frank Rivers']", Vertical Entertainment," Carte Blanche Film, 120dB Films, CaliWood Pictures, Above the Clouds Media Group, Lucky 13 Productions", $27.5K,62%,85%,45," Crime, Drama, Biography"," Jun 25, 2021  Limited"," Jun 25, 2021",https://www.rottentomatoes.com/m/lansky_2021
670,The Danish Girl 2015,"With support from his loving wife Gerda (Alicia Vikander), artist Einar Wegener (Eddie Redmayne) prepares to undergo one of the first sex-change operations.", English, 2h 0m, Tom Hooper," Tom Hooper, Gail Mutrux, Anne Harrison, Tim Bevan, Eric Fellner", Lucinda Coxon,"['Eddie Redmayne', 'Einar Wegener, Lili Elbe', 'Alicia Vikander', 'Gerda Wegener', 'Ben Whishaw', 'Henrik', 'Sebastian Koch', 'Warnekros', 'Amber Heard', 'Oola Paulson', 'Matthias Schoenaerts', 'Hans Axgil']", Focus Features," Working Title Films, Senator Film Produktion GmbH, Pretty Pictures", $11.1M,66%,72%,244," Biography, History, Drama, Lgbtq+"," Dec 25, 2015  Wide"," Feb 16, 2016",https://www.rottentomatoes.com/m/the_danish_girl_2015
671,Goon,"Though a misfit among his brainy family members, Massachusetts bouncer Doug Glatt (Seann William Scott) has a knockout punch that lands him a spot on a minor-league Canadian hockey team.", English, 1h 31m, Michael Dowse," Don Carmody, David Gross, Andre Rouleau, Ian Dimerman, Jay Baruchel"," Jay Baruchel, Evan Goldberg","['Seann William Scott', 'Doug Glatt', 'Jay Baruchel', 'Pat', 'Alison Pill', 'Eva', 'Marc-André Grondin', 'Xavier Laflamme', 'Liev Schreiber', 'Ross Rhea', 'Kim Coates', 'Ronnie Hortense']", Magnolia Pictures," No Trace Camping, Caramel Films", $4.2M,81%,71%,106," Comedy, Biography"," Mar 30, 2012  Limited"," Aug 10, 2016",https://www.rottentomatoes.com/m/goon
