Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
The Color Purple,"A story of love and resilience based on the novel and the Broadway musical, THE COLOR PURPLE is a decades-spanning tale of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.",Eng,141,Blitz Bazawule,"Oprah Winfrey, Steven Spielberg, Scott Sanders, Quincy Jones",Marcus Gardley,"['Taraji P. Henson', 'Shug Avery', 'Danielle Brooks', 'Sofia', 'Colman Domingo', 'Mister', 'Corey Hawkins', 'Harpo', 'H.E.R.', 'Squeak', 'Halle Bailey', 'Nettie']",Warner Bros. Pictures,"QJP, Amblin Entertainment, SGS Pictures, OW Films",60000000.0,0.83,0.95,232,Musical,"Dec 25, 2023  Wide","Jan 16, 2024",https://www.rottentomatoes.com/m/the_color_purple,"Musical, Drama"
The Beekeeper 2024,"In The Beekeeper, one man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",Eng,105,David Ayer,"Bill Block, Jason Statham, Chris Long, Kurt Wimmer",Kurt Wimmer,"['Jason Statham', 'Adam Clay', 'Jeremy Irons', 'Wallace Westwyld', 'Emmy Raver-Lampman', 'Agent Verona Parker', 'Bobby Naderi', 'Agent Matt Wiley', 'Josh Hutcherson', 'Derek Danforth', 'Minnie Driver']",MGM,"Miramax, Cedar Park Studios",41500000.0,0.7,0.92,164,Action,"Jan 12, 2024  Wide","Jan 30, 2024",https://www.rottentomatoes.com/m/the_beekeeper_2024,"Action, Mystery & thriller"
Aquaman And The Lost Kingdom,"After failing to defeat Aquaman the first time, Black Manta wields the power of the mythic Black Trident to unleash an ancient and malevolent force. Hoping to end his reign of terror, Aquaman forges an unlikely alliance with his brother, Orm, the former king of Atlantis. Setting aside their differences, they join forces to protect their kingdom and save the world from irreversible destruction.",Eng,124,James Wan,"Peter Safran, James Wan, Rob Cowan",David Leslie Johnson-McGoldrick,"['Jason Momoa', 'Arthur', 'Patrick Wilson', 'Orm', 'Yahya Abdul-Mateen II', 'Black Manta', 'Amber Heard', 'Mera', 'Nicole Kidman', 'Atlanna', 'Randall Park', 'Dr. Shin']",Warner Bros. Pictures,"Atomic Monster, Peter Safran",118000000.0,0.34,0.81,201,Action,"Dec 22, 2023  Wide","Jan 23, 2024",https://www.rottentomatoes.com/m/aquaman_and_the_lost_kingdom,"Action, Adventure, Fantasy"
Napoleon 2023,"""Napoleon"" is a spectacle-filled action epic that details the checkered rise and fall of the iconic French Emperor Napoleon Bonaparte, played by Oscar winner Joaquin Phoenix. Against a stunning backdrop of large-scale filmmaking orchestrated by legendary director Ridley Scott, the film captures Bonaparte's relentless journey to power through the prism of his addictive, volatile relationship with his one true love, Josephine, showcasing his visionary military and political tactics against some of the most dynamic practical battle sequences ever filmed.",Eng,158,Ridley Scott,"Mark Huffam, Ridley Scott, Kevin J. Walsh",David Scarpa,"['Joaquin Phoenix', 'Napoleon Bonaparte', 'Vanessa Kirby', 'Josephine', 'Ben Miles', 'Coulancourt', 'Tahar Rahim', 'Paul Barras', 'Ludivine Sagnier', 'Theresa Cabarrus', 'Ian McNeice']",Apple Original Films / Columbia Pictures,Scott Free Productions,61200000.0,0.58,0.59,328,Biography,"Nov 22, 2023  Wide","Jan 9, 2024",https://www.rottentomatoes.com/m/napoleon_2023,"Biography, History, Drama, War, Action"
Uncharted 2022,"Street-smart thief Nathan Drake (Tom Holland) is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan (Mark Wahlberg) to recover a fortune lost by Ferdinand Magellan 500 years ago. What starts as a heist job for the duo becomes a globe-trotting, white-knuckle race to reach the prize before the ruthless Moncada (Antonio Banderas), who believes he and his family are the rightful heirs. If Nate and Sully can decipher the clues and solve one of the world's oldest mysteries, they stand to find $5 billion in treasure and perhaps even Nate's long-lost brother...but only if they can learn to work together.",Eng,116,Ruben Fleischer,"Charles Roven, Avi Arad, Alex Gartner, Ari Arad","Rafe Judkins, Art Marcum, Matt Holloway","['Tom Holland', 'Nathan Drake', 'Mark Wahlberg', 'Victor Sullivan', 'Sophia Ali', 'Chloe Frazer', 'Tati Gabrielle', 'Braddock', 'Antonio Banderas', 'Santiago Moncada', 'Patricia Meeden', 'Spanish Woman']",Sony Pictures,"PlayStation Productions, Columbia Pictures, Atlas Entertainment, Arad Productions",147700000.0,0.4,0.9,264,Adventure,"Feb 18, 2022  Wide","Apr 26, 2022",https://www.rottentomatoes.com/m/uncharted_2022,"Adventure, Action"
Fast X,"Over many missions and against impossible odds, Dom Toretto (Vin Diesel) and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything--and everyone--that Dom loves, forever.",Eng,141,Louis Leterrier,"Neal H. Moritz, Vin Diesel, Justin Lin, Jeff Kirschenbaum, Samantha Vincent","Justin Lin, Dan Mazeau","['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Jason Momoa', 'Dante', 'Nathalie Emmanuel', 'Ramsey']",Universal Pictures,"Universal Studios, Perfect Storm Entertainment, China Film Co., Ltd., Original Film, One Race Films, Roth/Kirschenbaum Films",573900000.0,0.56,0.84,313,Action,"May 19, 2023  Wide","Jun 9, 2023",https://www.rottentomatoes.com/m/fast_x,"Action, Adventure"
Transformers Rise Of The Beasts,"Returning to the action and spectacle that have captured moviegoers around the world, Transformers: Rise of the Beasts will take audiences on a '90s globetrotting adventure with the Autobots and introduce a whole new faction of Transformer -- the Maximals -- to the existing battle on earth between Autobots and Decepticons.",Eng,127,Steven Caple Jr.,"Lorenzo di Bonaventura, Tom DeSanto, Don Murphy, Michael Bay, Mark Vahradian, Duncan Henderson","Joby Harold, Darnell Metayer, Josh Peters, Erich Hoeber, Jon Hoeber","['Anthony Ramos', 'Noah', 'Dominique Fishback', 'Elena', 'Ron Perlman', 'Optimus Primal Voice', 'Michelle Yeoh', 'Maximal Airazor Voice', 'Pete Davidson', 'Mirage Voice', 'Steven Caple Jr.', 'Director']",Paramount Pictures,"New Republic Pictures, Hasbro, Di Bonaventura Pictures, Allspark Pictures, Bay Films, Entertainment One, Paramount, Skydance Media",156700000.0,0.52,0.91,232,Action,"Jun 9, 2023  Wide","Jul 11, 2023",https://www.rottentomatoes.com/m/transformers_rise_of_the_beasts,"Action, Adventure, Sci-fi, Fantasy"
Star Wars The Rise Of Skywalker,"When it's discovered that the evil Emperor Palpatine did not die at the hands of Darth Vader, the rebels must race against the clock to find out his whereabouts. Finn and Poe lead the Resistance to put a stop to the First Order's plans to form a new Empire, while Rey anticipates her inevitable confrontation with Kylo Ren. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.",Eng,142,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Michelle Rejwan","Chris Terrio, J.J. Abrams","['Carrie Fisher', 'Leia Organa', 'Mark Hamill', 'Luke Skywalker', 'Adam Driver', 'Kylo Ren', 'Daisy Ridley', 'Rey', 'John Boyega', 'Finn', 'Oscar Isaac', 'Poe Dameron']",Walt Disney,"Lucasfilm Ltd., Bad Robot",515200000.00000006,0.51,0.86,527,Sci-fi,"Dec 20, 2019  Wide","Dec 20, 2019",https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker,"Sci-fi, Adventure, Action, Fantasy"
Bullet Train 2022,"In Bullet Train, Brad Pitt stars as Ladybug, an unlucky assassin determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe -- all with connected, yet conflicting, objectives -- on the world's fastest train. From the director of Deadpool 2, David Leitch, the end of the line is only the beginning in a wild, non-stop thrill ride through modern-day Japan.",Eng,126,David Leitch,"Kelly McCormick, David Leitch, Antoine Fuqua",Zak Olkewicz,"['Brad Pitt', 'Ladybug', 'Joey King', 'Prince', 'Aaron Taylor-Johnson', 'Tangerine', 'Brian Tyree Henry', 'Lemon', 'Andrew Koji', 'Kimura', 'Hiroyuki Sanada']",Columbia Pictures,"Sony Pictures Entertainment (SPE), 87North, Hill District Media, CTB Inc.",103100000.0,0.54,0.76,340,Action,"Aug 5, 2022  Wide","Dec 3, 2022",https://www.rottentomatoes.com/m/bullet_train_2022,"Action, Comedy"
Retribution 2023,"Liam Neeson stars in Retribution, an immersive ticking clock thriller that straps audiences in for a high-octane ride of redemption and revenge. When a mysterious caller puts a bomb under his car seat, Matt Turner (Neeson) begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",Eng,90,Nimród Antal,"Jaume Collet-Serra, Juan Solá, Andrew Rona, Alex Heineman",Christopher Salmanpour,"['Liam Neeson', 'Matt Truner', 'Noma Dumezweni', 'Angela Brickmann', 'Matthew Modine', 'Anders Muller', 'Lily Aspell', 'Emily Turner', 'Jack Champion', 'Zach Turner', 'Embeth Davidtz', 'Heather Turner']",Lionsgate / Roadside Attractions,"Vaca Films, TF1 Films Production, Ombra Films, Kismet Media, Cine+, The Picture Company, StudioCanal, Studio Babelsberg, Talent One, Atresmedia Cine",6900000.0,0.29,0.66,93,Action,"Aug 25, 2023  Wide","Sep 15, 2023",https://www.rottentomatoes.com/m/retribution_2023,"Action, Mystery & thriller"
Hypnotic 2023,"Determined to find his missing daughter, Austin detective Danny Rourke finds himself spiraling down a rabbit hole investigating a series of reality-bending crimes where he will ultimately call into question his most basic assumptions about everything and everyone in his world. Aided by Diana Cruz, a gifted psychic, Rourke simultaneously pursues and is pursued by a lethal specter -- the one man he believes holds the key to finding the missing girl -- only to discover more than he ever bargained for.",Eng,92,Robert Rodriguez,"Jeff Robinov, John Graham, Robert Rodriguez, Mark Gill, Guy Botham, Lisa Ellzey, Racer Rodriguez","Robert Rodriguez, Max Borenstein","['Ben Affleck', 'Daniel Rourke', 'Alice Braga', 'Diana Cruz', 'JD Pardo', 'Nicks', 'Hala Finley', 'Minnie', 'Jackie Earle Haley', 'Jeremiah', 'William Fichtner', 'Dellrayne']",Ketchup Entertainment,"Double R Productions, Belga Films",4500000.0,0.32,0.62,114,Mystery & thriller,"May 12, 2023  Wide","May 30, 2023",https://www.rottentomatoes.com/m/hypnotic_2023,"Mystery & thriller, Action"
Eternals,"Marvel Studios' Eternals features an exciting new team of Super Heroes in the Marvel Cinematic Universe, ancient aliens who have been living on Earth in secret for thousands of years. Following the events of Avengers: Endgame, an unexpected tragedy forces them out of the shadows to reunite against mankind's most ancient enemy, the Deviants.",Eng,157,Chloé Zhao,"Kevin Feige, Nate Moore","Chloé Zhao, Ryan Firpo, Kaz Firpo","['Angelina Jolie', 'Thena', 'Salma Hayek', 'Ajak', 'Kit Harington', 'Dane Whitman', 'Gemma Chan', 'Sersi', 'Richard Madden', 'Ikaris', 'Kumail Nanjiani', 'Kingo']",Walt Disney,Marvel Studios,164900000.0,0.47,0.77,412,Action,"Nov 5, 2021  Wide","Jan 12, 2022",https://www.rottentomatoes.com/m/eternals,"Action, Adventure, Fantasy"
Renfield,"In this modern monster tale of Dracula's loyal servant, Nicholas Hoult (Mad Max: Fury Road, X-Men franchise) stars as Renfield, the tortured aide to history's most narcissistic boss, Dracula (Oscar® winner Nicolas Cage). Renfield is forced to procure his master's prey and do his every bidding, no matter how debased. But now, after centuries of servitude, Renfield is ready to see if there's a life outside the shadow of The Prince of Darkness. If only he can figure out how to end his codependency.",Eng,93,Chris McKay,"Robert Kirkman, David Alpert, Bryan Furst, Sean Furst, Chris McKay",Ryan Ridley,"['Nicolas Cage', 'Dracula', 'Nicholas Hoult', 'Renfield', 'Awkwafina', 'Rebecca Quincy', 'Ben Schwartz', 'Teddy Lobo', 'Adrian Martinez', 'Chris Marcos', 'Shohreh Aghdashloo']",Universal Pictures,"Skybound Entertainment, Universal Studios",17100000.0,0.58,0.79,301,Horror,"Apr 14, 2023  Wide","May 2, 2023",https://www.rottentomatoes.com/m/renfield,"Horror, Action, Comedy, Fantasy"
Meg 2 The Trench,"Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more! Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" -- where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement!",Eng,116,Ben Wheatley,"Lorenzo di Bonaventura, Belle Avery","Jon Hoeber, Erich Hoeber, Dean Georgaris","['Jason Statham', 'Jonas Taylor', 'Jing Wu', 'Jiuming Zhang', 'Shuya Sophia Cai', 'Meiying', 'Page Kennedy', 'DJ', 'Sergio Peris-Mencheta', 'Montes', 'Skyler Samuels', 'Jess']",Warner Bros. Pictures,"Warner Bros. Studios Leavesden, Gravity Pictures, Apelles Entertainment, Flagship Entertainment Group, China Media Capital, Maeday Productions",82600000.0,0.27,0.73,182,Sci-fi,"Aug 4, 2023  Wide","Aug 25, 2023",https://www.rottentomatoes.com/m/meg_2_the_trench,"Sci-fi, Mystery & thriller, Action, Adventure"
Jurassic World Dominion,"This summer, experience the epic conclusion to the Jurassic era as two generations unite for the first time. Chris Pratt and Bryce Dallas Howard are joined by Oscar®-winner Laura Dern, Jeff Goldblum and Sam Neill in Jurassic World Dominion, a bold, timely and breathtaking new adventure that spans the globe. From Jurassic World architect and director Colin Trevorrow, Dominion takes place four years after Isla Nublar has been destroyed. Dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures.",Eng,147,Colin Trevorrow,"Frank Marshall, Patrick Crowley","Emily Carmichael, Colin Trevorrow","['Chris Pratt', 'Owen Grady', 'Bryce Dallas Howard', 'Claire Dearing', 'Laura Dern', 'Ellie Sattler', 'Jeff Goldblum', 'Ian Malcolm', 'Sam Neill', 'Alan Grant', 'DeWanda Wise', 'Kayla Watts']",Universal Pictures,"Universal Pictures, Perfect World Pictures, Amblin Entertainment",376000000.0,0.29,0.77,403,Action,"Jun 10, 2022  Wide","Sep 2, 2022",https://www.rottentomatoes.com/m/jurassic_world_dominion,"Action, Adventure, Sci-fi, Mystery & thriller"
Ant Man And The Wasp Quantumania,"Super-Hero partners Scott Lang (Paul Rudd) and Hope van Dyne (Evangeline Lilly) return to continue their adventures as Ant-Man and the Wasp. Together, with Hope's parents Janet van Dyne (Michelle Pfeiffer) and Hank Pym (Michael Douglas), and Scott's daughter Cassie Lang (Kathryn Newton), the family finds themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Eng,124,Peyton Reed,"Kevin Feige, Stephen Broussard",Jeff Loveness,"['Paul Rudd', 'Scott Lang, Ant-Man', 'Evangeline Lilly', 'Hope van Dyne, Wasp', 'Jonathan Majors', 'Kang the Conqueror', 'Bill Murray', 'Lord Krylar', 'Kathryn Newton', 'Cassie Lang', 'Michelle Pfeiffer', 'Janet van Dyne, Wasp']",Walt Disney Pictures,"Walt Disney Pictures, Marvel Studios, The South Australian Film Corporation, Québec Production Services Tax Credit",214500000.0,0.46,0.82,410,Action,"Feb 17, 2023  Wide","Apr 18, 2023",https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania,"Action, Adventure, Fantasy, Comedy"
65,"After a catastrophic crash on an unknown planet, pilot Mills (Adam Driver) quickly discovers he’s actually stranded on Earth... 65 million years ago. Now, with only one chance at rescue, Mills and the only other survivor, Koa (Ariana Greenblatt), must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.",Eng,93,"Scott Beck, Bryan Woods","Sam Raimi, Deborah Liebling, Zainab Azizi, Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","['Adam Driver', 'Mills', 'Ariana Greenblatt', 'Koa', 'Chloe Coleman', 'Nevine', 'Scott Beck', 'Director', 'Bryan Woods', 'Director', 'Scott Beck', 'Screenwriter']",Columbia Pictures,"Raimi Productions, Beck Woods, Columbia Pictures, BRON Creative, Sony Pictures Entertainment (SPE)",31500000.0,0.36,0.65,128,Sci-fi,"Mar 10, 2023  Wide","Apr 7, 2023",https://www.rottentomatoes.com/m/65,"Sci-fi, Adventure, Action, Mystery & thriller"
Operation Fortune Ruse De Guerre,"In the film, super spy Orson Fortune (Jason Statham) must track down and stop the sale of a deadly new weapons technology wielded by billionaire arms broker Greg Simmonds (Hugh Grant). Reluctantly teamed with some of the world’s best operatives (Aubrey Plaza, Cary Elwes, Bugzy Malone), Fortune and his crew recruit Hollywood's biggest movie star Danny Francesco (Josh Hartnett) to help them on their globe-trotting undercover mission to save the world.",Eng,114,Guy Ritchie,"Ivan Atkinson, Bill Block, Steve Chasman, Guy Ritchie, Jason Statham","Guy Ritchie, Ivan Atkinson, Marn Davies","['Jason Statham', 'Orson Fortune', 'Aubrey Plaza', 'Josh Hartnett', 'Danny Francesco', 'Cary Elwes', 'Nathan Jasmine', 'Bugzy Malone', 'Hugh Grant', 'Greg Simmonds']",Lionsgate,"The Searchers NV, Tencent Pictures, AZ Celtic Films, STX Films, Miramax, Toff Guy Films",6400000.0,0.51,0.82,151,Action,"Mar 3, 2023  Wide","Mar 21, 2023",https://www.rottentomatoes.com/m/operation_fortune_ruse_de_guerre,"Action, Comedy, Mystery & thriller"
Batman V Superman Dawn Of Justice,"It's been nearly two years since Superman's (Henry Cavill) colossal battle with Zod (Michael Shannon) devastated the city of Metropolis. The loss of life and collateral damage left many feeling angry and helpless, including crime-fighting billionaire Bruce Wayne (Ben Affleck). Convinced that Superman is now a threat to humanity, Batman embarks on a personal vendetta to end his reign on Earth, while the conniving Lex Luthor (Jesse Eisenberg) launches his own crusade against the Man of Steel.",Eng,153,Zack Snyder,"Charles Roven, Deborah Snyder","Chris Terrio, David S. Goyer","['Ben Affleck', 'Bruce Wayne, Batman', 'Henry Cavill', 'Clark Kent, Superman', 'Amy Adams', 'Lois Lane', 'Jesse Eisenberg', 'Lex Luthor', 'Diane Lane', 'Martha Kent', 'Laurence Fishburne', 'Perry White']",Warner Bros. Pictures,"Syncopy, Atlas Entertainment, Warner Bros., Cruel and Unusual, DC Entertainment",330200000.0,0.29,0.63,439,Action,"Mar 25, 2016  Wide","Nov 25, 2016",https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,"Action, Adventure, Sci-fi, Fantasy"
Expend4Bles,"A new generation of stars join the world's top action stars for an adrenaline-fueled adventure in Expend4bles. Reuniting as the team of elite mercenaries, Jason Statham, Dolph Lundgren, Randy Couture, and Sylvester Stallone are joined for the first time by Curtis ""50 Cent"" Jackson, Megan Fox, Tony Jaa, Iko Uwais, Jacob Scipio, Levy Tran, and Andy Garcia. Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world's last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give ""new blood"" a whole new meaning.",Eng,103,Scott Waugh,"Kevin King Templeton, Les Weldon, Yariv Lerner, Jason Statham","Kurt Wimmer, Tad Daggerhart, Max Adams","['Jason Statham', 'Lee Christmas', '50 Cent', 'Easy Day', 'Megan Fox', 'Gina', 'Dolph Lundgren', 'Gunner Jensen', 'Tachakorn Yeerum', 'Iko Uwais', 'Rahmat']",Lionsgate,"Dutch FilmWorks, Nu Boyana Film Studios, Millennium Media, Campbell Grobman Films, Media Capital Technologies",16200000.0,0.14,0.7,124,Action,"Sep 22, 2023  Wide","Oct 13, 2023",https://www.rottentomatoes.com/m/expend4bles,"Action, Adventure"
Ava 2020 2,An assassin becomes marked for death by her own black ops organization after questioning orders and breaking protocol.,Eng,97,Tate Taylor,"Kelly Carmichael, Nicolas Chartier, Jessica Chastain",Matthew Newton,"['Jessica Chastain', 'Ava', 'John Malkovich', 'Duke', 'Colin Farrell', 'Simon', 'Jess Weixler', 'Judy', 'Common', 'Michael', 'Geena Davis', 'Bobbi']",Vertical Entertainment,"Freckle Films, Voltage Pictures",464200.0,0.2,0.29,40,Action,"Sep 25, 2020  Limited","Sep 25, 2020",https://www.rottentomatoes.com/m/ava_2020_2,"Action, Mystery & thriller"
The Kings Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them. Discover the origins of the very first independent intelligence agency in ""The King's Man.""",Eng,131,Matthew Vaughn,"Matthew Vaughn, David Reid, Adam Bohling","Matthew Vaughn, Karl Gajdusek","['Ralph Fiennes', 'Orlando Oxford', 'Harris Dickinson', 'Conrad Oxford', 'Rhys Ifans', 'Grigori Rasputin', 'Djimon Hounsou', 'Shola', 'Gemma Arterton', 'Polly', 'Matthew Goode', 'Morton']",20th Century Studios,Marv Studios,37200000.0,0.4,0.8,183,Action,"Dec 22, 2021  Wide","Feb 18, 2022",https://www.rottentomatoes.com/m/the_kings_man,"Action, Adventure"
The Mummy 2017,"Nick Morton is a soldier of fortune who plunders ancient sites for timeless artifacts and sells them to the highest bidder. When Nick and his partner come under attack in the Middle East, the ensuing battle accidentally unearths Ahmanet, a betrayed Egyptian princess who was entombed under the desert for thousands of years. With her powers constantly evolving, Morton must now stop the resurrected monster as she embarks on a furious rampage through the streets of London.",Eng,107,Alex Kurtzman,"Alex Kurtzman, Chris Morgan, Sean Daniel, Sarah Bradshaw","David Koepp, Christopher McQuarrie, Dylan Kussman","['Tom Cruise', 'Nick Morton', 'Russell Crowe', 'Henry Jekyll', 'Annabelle Wallis', 'Jenny Halsey', 'Sofia Boutella', 'Ahmanet', 'Jake Johnson', 'Chris Vail', 'Courtney B. Vance', 'Col. Greenway']",Universal Pictures,"Conspiracy Factory, Sean Daniel Company, Secret Hideout, Perfect World Pictures, Dark Universe",80100000.0,0.15,0.35,317,Action,"Jun 9, 2017  Wide","Jul 10, 2017",https://www.rottentomatoes.com/m/the_mummy_2017,"Action, Adventure, Fantasy, Horror"
Kandahar 2023,"An undercover CIA operative gets stuck in hostile territory in Afghanistan after his mission is exposed. Accompanied by his translator, he must fight enemy combatants as he tries to reach an extraction point in Kandahar.",Eng,119,Ric Roman Waugh,"Basil Iwanyk, Brendon Boyea, Erica Lee, Gerard Butler, Alan Siegel, Christian Mercuri, Scott LaStaiti",Mitchell LaFortune,"['Gerard Butler', 'Tom Harris', 'Navid Negahban', 'Mohammad ""Mo"" Doud', 'Ali Fazal', 'Kahil Nasir', 'Travis Fimmel', 'Roman Chalmers', 'Elnaaz Norouzi', 'Shina Asadi', 'Bahador Foladi', 'Farzad Asadi']",Open Road Films,"MBC Studios, Thunder Road Pictures, Capstone Studios, G-BASE, Dutch FilmWorks",4200000.0,0.45,0.82,102,Action,"May 26, 2023  Wide","Aug 15, 2023",https://www.rottentomatoes.com/m/kandahar_2023,"Action, Mystery & thriller"
Equalizer 2,"If you have a problem and there is nowhere else to turn, the mysterious and elusive Robert McCall will deliver the vigilante justice you seek. This time, however, McCall's past cuts especially close to home when thugs kill Susan Plummer -- his best friend and former colleague. Now out for revenge, McCall must take on a crew of highly trained assassins who'll stop at nothing to destroy him.",Eng,121,Antoine Fuqua,"Todd Black, Jason Blumenthal, Denzel Washington, Antoine Fuqua, Alex Siskin, Steve Tisch, Mace Neufeld, Tony Eldridge, Michael Sloan",Richard Wenk,"['Denzel Washington', 'Robert McCall', 'Pedro Pascal', 'Dave York', 'Ashton Sanders', 'Miles Whittaker', 'Bill Pullman', 'Brian Plummer', 'Melissa Leo', 'Susan Plummer', 'Jonathan Scarfe', 'Resnik']","Sony Pictures Entertainment, Columbia Pictures","Sony Pictures Entertainment (SPE), Columbia Pictures, Escape Artists, Mace Neufeld Productions, Zhiv, Hill District Media",102000000.0,0.52,0.61,212,Action,"Jul 20, 2018  Wide","Nov 13, 2018",https://www.rottentomatoes.com/m/equalizer_2,"Action, Mystery & thriller"
Fast And Furious,"When a crime brings them back to the mean streets of Los Angeles, fugitive ex-convict Dom Toretto (Vin Diesel) and agent Brian O'Conner (Paul Walker) reignite their high-octane feud. However, when a common enemy rears his head, Dom and Brian must learn how to work together and trust one another in order to defeat him.",Eng,107,Justin Lin,"Neal H. Moritz, Vin Diesel, Michael Fottrell",Chris Morgan,"['Vin Diesel', 'Dom Toretto', 'Paul Walker', ""Brian O'Conner"", 'Michelle Rodriguez', 'Letty', 'Jordana Brewster', 'Mia Toretto', 'John Ortiz', 'Campos', 'Laz Alonso', 'Fenix']",Universal Pictures,"Original Film, One Race Productions",155000000.0,0.28,0.67,179,Action,"Apr 3, 2009  Wide","Jan 1, 2015",https://www.rottentomatoes.com/m/fast_and_furious,"Action, Mystery & thriller"
Superman Man Of Steel,"With the imminent destruction of Krypton, their home planet, Jor-El (Russell Crowe) and his wife seek to preserve their race by sending their infant son to Earth. The child's spacecraft lands at the farm of Jonathan (Kevin Costner) and Martha (Diane Lane) Kent, who name him Clark and raise him as their own son. Though his extraordinary abilities have led to the adult Clark (Henry Cavill) living on the fringe of society, he finds he must become a hero to save those he loves from a dire threat.",Eng,143,Zack Snyder,"Charles Roven, Christopher Nolan, Emma Thomas, Deborah Snyder",David S. Goyer,"['Henry Cavill', 'Clark Kent, Kal-El', 'Amy Adams', 'Lois Lane', 'Michael Shannon', 'General Zod', 'Diane Lane', 'Martha Kent', 'Russell Crowe', 'Jor-El', 'Antje Traue', 'Faora-Ul']",Warner Bros. Pictures,"Syncopy, Warner Bros.",291000000.0,0.56,0.75,344,Action,"Jun 14, 2013  Wide","Dec 8, 2015",https://www.rottentomatoes.com/m/superman_man_of_steel,"Action, Adventure, Sci-fi, Fantasy"
Godzilla King Of The Monsters 2019,"Members of the crypto-zoological agency Monarch face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species-thought to be mere myths-rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Eng,132,Michael Dougherty,"Mary Parent, Alex Garcia, Thomas Tull, Jon Jashni, Brian Rogers","Michael Dougherty, Zach Shields","['Kyle Chandler', 'Dr. Mark Russell', 'Vera Farmiga', 'Dr. Emma Russell', 'Millie Bobby Brown', 'Madison Russell', 'Ken Watanabe', 'Dr. Ishiro Serizawa', 'Zhang Ziyi', 'Dr. Ilene Chen, Dr. Ling', 'Bradley Whitford', 'Dr. Rick Stanton']",Warner Bros. Pictures,"Warner Bros., Toho Company, Legendary Entertainment",110500000.0,0.42,0.83,352,Sci-fi,"May 31, 2019  Wide","Aug 13, 2019",https://www.rottentomatoes.com/m/godzilla_king_of_the_monsters_2019,"Sci-fi, Action, Adventure"
