Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
I Am 2011,"Filmmaker Tom Shadyac interviews philosophers, scientists and others to find out ways -- individually and communally -- that people can improve the way they live.",Eng,76,Tom Shadyac,Dagan Handy,Tom Shadyac,"['Tom Shadyac', 'Self', 'Desmond Tutu', 'Self', 'Noam Chomsky', 'Self', 'Chris Jordan', 'Self', 'Tom Shadyac', 'Director', 'Tom Shadyac', 'Screenwriter']",Paladin,Shady Acres Entertainment,1600000.0,0.37,0.8,46,Documentary,"Feb 18, 2011  Limited","Oct 27, 2016",https://www.rottentomatoes.com/m/i_am_2011,Documentary
Naqoyqatsi,"The long-awaited sequel to the groundbreaking films ""Koyaanisqatsi"" and ""Powaqqatsi."" Filmmaker Godfrey Reggio once again takes us on an emotional journey that highlights the profundities embedded in our everyday lives. In this final installment of the Qatsi trilogy, Reggio chronicles with breathtaking imagery the most significant event of the last five thousand years: the shift from a world organized by the principles of nature to one dominated by technology, the synthetic and virtual.",Eng,89,Godfrey Reggio,"Godfrey Reggio, Joe Beirne, Lawrence Taub",Godfrey Reggio,"['Bhagwan Mirchandani', 'Jack Shamblin', 'Steven Soderbergh', 'Godfrey Reggio', 'Director', 'Godfrey Reggio', 'Writer', 'Steven Soderbergh', 'Executive Producer']",Miramax Films,"Miramax Films, Qatsi Productions",132000.0,0.48,0.7,52,Documentary,"Oct 18, 2002  Original","Oct 8, 2016",https://www.rottentomatoes.com/m/naqoyqatsi,"Documentary, Music"
Death Of A Nation,"Through historical re-creations and a searching examination of fascism and white supremacy, filmmaker Dinesh D'Souza exposes hidden history and truths.",Eng,108,"Dinesh D'Souza, Bruce Schooley",Gerald R. Molen,"Dinesh D'Souza, Bruce Schooley","[""Dinesh D'Souza"", 'Self', ""Debbie D'Souza"", 'Self', 'Angela Primm', 'Self', 'Richard Spencer', 'Self', 'Allen Guelzo', 'Self', 'Edwin Black', 'Self']",Quality Flix,D'Souza Media,5900000.0,0.0,0.88,13,Documentary,"Aug 3, 2018  Wide","Oct 16, 2018",https://www.rottentomatoes.com/m/death_of_a_nation,Documentary
Hillarys America The Secret History Of The Democratic Party,Filmmaker Dinesh D'Souza examines presidential candidate Hillary Clinton and the Democratic Party.,Eng,107,"Dinesh D'Souza, Bruce Schooley",Gerald R. Molen,"Dinesh D'Souza, Bruce Schooley","[""Dinesh D'Souza"", 'Self', 'Jonah Goldberg', 'Self', 'Andrea Cohen', 'Margaret Sanger', 'Mikaela Krantz', 'Young Hillary Clinton', 'Carol M. Swain', 'Self', 'Rebekah Turner', 'Hillary Clinton']",Quality Flix,D'Souza Media,13100000.0,0.04,0.8,28,Documentary,"Jul 22, 2016  Wide","Oct 11, 2016",https://www.rottentomatoes.com/m/hillarys_america_the_secret_history_of_the_democratic_party,Documentary
A Lego Brickumentary,Filmmakers Daniel Junge and Kief Davidson explore the history and worldwide cultural impact of the LEGO universe.,Eng,92,"Daniel Junge, Kief Davidson","Brendan Kiernan, Justin Moore-Lewy, Chris Brown","Daniel Junge, Davis Coombe, Kief Davidson","['Jason Bateman', 'Narrator', 'Daniel Junge', 'Director', 'Kief Davidson', 'Director', 'Daniel Junge', 'Writer', 'Davis Coombe', 'Writer', 'Kief Davidson', 'Writer']",Radius TWC,"Global Emerging Markets (GEM), HeLo",100200.0,0.54,0.64,50,Documentary,"Jul 31, 2015  Limited","Dec 5, 2016",https://www.rottentomatoes.com/m/a_lego_brickumentary,Documentary
Video Games The Movie,"Through interviews with developers, publishers and consumers, filmmaker Jeremy Snead examines video game history and culture and how the games are consumed.",Eng,100,Jeremy Snead,"J. Allard, Kimberly Much, Jeremy Snead",Jeremy Snead,"['Sean Astin', 'Narrator', 'Jeremy Snead', 'Director', 'Jeremy Snead', 'Writer', 'J. Allard', 'Producer', 'Kimberly Much', 'Producer', 'Jeremy Snead', 'Producer']",Variance Films,"Mediajuice Studios, The Creative Group PR",23000.0,0.18,0.36,17,Documentary,"Jul 18, 2014  Limited","Dec 5, 2016",https://www.rottentomatoes.com/m/video_games_the_movie,Documentary
The Devil And Father Amorth,Filmmaker William Friedkin follows the Rev. Gabriele Amorth as he performs an exorcism on a woman in Italy.,Eng,68,William Friedkin,"Mickey Liddell, Pete Shilaimon","William Friedkin, Mark Kermode","['William Friedkin', 'Self', 'Father Gabriele Amorth', 'Self', 'William Friedkin', 'Director', 'William Friedkin', 'Writer', 'Mark Kermode', 'Writer', 'Mickey Liddell', 'Producer']",The Orchard,LD Entertainment,20400.0,0.44,0.23,39,Documentary,"Apr 20, 2018  Limited","Apr 16, 2018",https://www.rottentomatoes.com/m/the_devil_and_father_amorth,Documentary
Touch The Wall,Olympic swimmers Missy Franklin and Kara Lynn Joyce train together for the 2012 games in London.,Eng,102,"Grant Barbeito, Christo Brock","Grant Barbeito, Christo Brock",Christo Brock,"['Missy Franklin', 'Self', 'Madison Kennedy', 'Self', 'David Marsh', 'Self', 'Cullen Jones', 'Self', 'Dick Franklin', 'Self', 'Rowdy Gaines', 'Self']","Tugg, Inc., MTuckman Media",Touch the Wall LLC,6200.0,0.4,0.96,5,Documentary,"Nov 28, 2014  Limited","Nov 3, 2016",https://www.rottentomatoes.com/m/touch_the_wall,Documentary
Created Equal Clarence Thomas In His Own Words,Justice Clarence Thomas recounts his extraordinary life story -- from living in poverty as a child to serving on the Supreme Court.,Eng,116,Michael Pack,Michael Pack,Michael Pack,"['Clarence Thomas', 'Self', 'Michael Pack', 'Director', 'Michael Pack', 'Writer', 'Michael Pack', 'Producer', 'Gina Cappo Pack', 'Executive Producer', 'James Callanan', 'Cinematographer']",Manifold Productions,Manifold Productions Inc,281100.0,0.33,0.99,18,Documentary,"Jan 31, 2020  Limited","Oct 4, 2020",https://www.rottentomatoes.com/m/created_equal_clarence_thomas_in_his_own_words,Documentary
Misery Loves Comedy,"Comics Martin Short, Nick Swardson, Jimmy Fallon and others talk to actor Kevin Pollak about the dark side of being funny.",Eng,94,Kevin Pollak,"Becky Newhall, Burton Ritchie, Barry Katz","Kevin Pollak, John Vorhaus","['Jason Alexander', 'Judd Apatow', 'Scott Aukerman', 'Maria Bamford', 'Kevin Pollak', 'Director', 'Kevin Pollak', 'Writer']",Tribeca Film,Heretic Films,5300.0,0.35,0.33,26,Documentary,"Apr 24, 2015  Limited","Dec 28, 2015",https://www.rottentomatoes.com/m/misery_loves_comedy,"Documentary, Comedy"
