Title,Runtime,Tomato Meter,Audience Score,No. Reviews,Genre,Embedding-0,Embedding-1,Embedding-2,Embedding-3,Embedding-4,Embedding-5,Embedding-6,Embedding-7,Embedding-8,Embedding-9,Embedding-10,Embedding-11,Embedding-12,Embedding-13,Embedding-14,Embedding-15,Embedding-16,Embedding-17,Embedding-18,Embedding-19
The Color Purple,141,0.83,0.95,232,Musical,0.006504733,-0.0039317477,0.009017082,-0.017082091,-0.0022237783,-0.019914683,0.012251012,-0.006608107,0.008351676,-0.007760574,0.008279513,0.0031251847,-0.00044019596,0.005657728,-0.010295456,0.0056587383,0.007126823,0.010052538,-0.0022518348,-0.011681482
Argylle,139,0.33,0.71,249,Action,-0.00021909177,0.003521239,-0.0021868744,-0.01856785,0.005129874,0.0009419415,0.0055862465,-0.0005643796,-0.0091240015,0.00707492,0.00628319,-0.023086166,-0.0009991492,-0.0039628954,0.0035604541,-0.0074475184,-0.0018522885,-0.0021027853,0.0007609191,-0.008337325
The Beekeeper 2024,105,0.7,0.92,164,Action,-0.002085364,-0.012180905,-0.010434888,0.0099915285,0.0014367545,-0.016964275,-0.007768132,-0.008554534,0.001718134,0.0033777854,0.010042479,0.002104149,-0.009732421,0.010380412,0.010181601,-0.009168103,0.0051131384,-0.008296759,-0.009170641,-0.0074911043
Aquaman And The Lost Kingdom,124,0.34,0.81,201,Action,-0.0038075838,0.01782863,-0.0045887353,-0.010085246,-0.0015349558,-0.008346628,-0.0055057383,0.004929329,0.0056611286,-4.7658385e-05,0.0051771714,-0.001993819,0.012275388,0.001283976,-0.005048326,0.0008468477,0.006750019,0.004896997,-0.010121825,0.0055271527
Lift 2024,104,0.28,0.31,69,Action,-0.0039811293,-0.0051524285,0.012534025,-0.01445732,0.00745955,-0.0031599514,-0.012773904,0.015674245,0.017079866,-0.003407965,0.006408566,-0.0038150821,0.0022451964,-0.007045212,-0.006072803,0.0012495937,0.008809464,0.0036438026,0.01420632,0.020739296
Napoleon 2023,158,0.58,0.59,328,Biography,0.005341471,-0.0010786173,0.0026766346,-0.009863853,-0.017361443,-0.0084645245,0.00034114768,-0.032351088,0.008261668,-0.0019992688,0.011454771,0.00044375387,0.0011503078,0.0057913116,0.00770128,-0.0057205046,-0.01247372,0.0040834607,-0.0080657005,0.007022591
Rebel Moon Part 1 A Child Of Fire,135,0.22,0.58,172,Sci-fi,0.0027475636,0.012862975,-0.008716668,-0.010358718,0.0032598726,-0.0031718805,0.004660613,-0.007345316,-0.0045065545,-0.0038756835,0.0018448576,0.003381911,0.0016513381,0.008203607,0.005857688,0.0010520488,0.0073357285,-0.008310245,-0.000443371,-0.00966621
Uncharted 2022,116,0.4,0.9,264,Adventure,-0.007612628,0.011647934,0.008785317,-0.011335711,0.0009961165,0.0033462911,-0.014664593,0.0056994096,0.004211781,-0.003543355,0.015828717,-0.0057886327,0.004503785,-0.0019556987,-0.0017805623,0.0043764375,-0.0061833877,0.013803119,0.0069711492,0.0005170638
Fast X,141,0.56,0.84,313,Action,0.0012463726,0.006690969,0.016505202,-0.024463654,0.0029713013,-0.01643309,-0.0026768812,0.00042439214,0.001988838,0.0008448772,-0.012034692,-0.0045300415,0.0015182056,0.010763436,0.009218174,0.007910798,-0.0056308173,0.0015181411,0.00083446346,-0.007245075
Dangerous Waters 2023,101,0.29,0.38,14,Mystery & thriller,-0.013237548,-0.021156618,-0.010636919,-0.016044172,-0.008968127,-0.0022500977,-0.0078265695,0.012127828,0.0002654555,0.0071450286,-0.0045113554,0.011168449,-0.015667822,-0.006008998,0.0044305134,0.016872216,0.006055262,-0.0069287894,-0.012503771,-0.00085699896
Transformers Rise Of The Beasts,127,0.52,0.91,232,Action,0.0013954605,0.00970694,0.009583183,-0.008797074,0.0031320197,-0.0055124154,0.020201648,-0.007142446,-0.00013138782,0.00031707884,-0.017856812,-0.0029356454,0.008001102,0.005179463,-0.0017982911,0.009805383,-0.0024400179,0.00026850365,-0.0072138617,-0.002345845
Star Wars The Rise Of Skywalker,142,0.51,0.86,527,Sci-fi,0.011850314,-0.020909987,-0.0036965548,-0.0013492946,-0.0052566263,-0.010738664,0.007926273,-0.0042624352,0.0049747936,-0.0050332374,-0.0066306116,-0.0065151565,0.003498961,-0.011268055,0.01062539,-0.0030994534,-0.008731838,-0.008928485,-0.0025320493,-0.012611082
Bullet Train 2022,126,0.54,0.76,340,Action,-0.0034343775,0.0071972073,0.0047518527,-0.001830762,0.007666373,0.002174488,0.011045108,-0.00390705,0.014490932,-0.0067981556,-0.000109199624,0.020292938,-0.0027817956,0.0015271228,0.00967316,0.0030094266,0.0059351674,-0.007901127,-0.0069600665,-0.00064279436
Retribution 2023,90,0.29,0.66,93,Action,-0.016137706,0.006949553,0.015916321,0.0069244937,0.007674423,-0.019091288,0.00582097,0.004346258,-0.005776012,0.012176519,-0.0036485493,0.0035926104,-0.0059257904,0.0074313045,0.0032103062,0.0023472612,0.004365606,0.004171043,-0.0017560881,0.0037946508
The Bricklayer 2023,110,0.55,0.42,20,Action,0.007780974,-0.010672151,0.005784818,-0.00025388287,0.0034627921,-0.009721166,0.0028243463,-0.015659515,-0.00831414,-0.008909965,0.026527848,-0.0019559271,0.0070048436,0.00639874,0.0038777404,-0.0058567277,5.38826e-05,-0.000104235485,-0.0003033288,-0.00060801936
Hypnotic 2023,92,0.32,0.62,114,Mystery & thriller,-0.0064397706,-0.008645707,0.010097799,-0.0043342104,-0.011433309,-0.013077378,0.005240022,-0.006479536,-0.000808708,0.0011735812,-3.998708e-05,0.011772388,0.0064507113,-0.0033026692,-0.013676437,0.001905735,-0.004037113,-0.002798134,-0.017161258,-0.019363275
Ghosted 2023,116,0.25,0.55,118,Action,0.002659624,-0.00070637336,-0.010904595,0.009933305,-0.004850182,-0.007328196,0.002705579,-0.008585362,0.0045993524,0.0010332707,-0.010587641,0.0023036276,-0.021006526,-0.0008652255,-0.015726611,0.0010946437,0.0030276538,0.003503523,-0.0041976143,-0.016877646
Eternals,157,0.47,0.77,412,Action,0.011221118,-0.007658745,-0.0025355036,-0.010523941,0.008578753,-0.014406221,0.005454179,0.005782317,-0.00037781644,-0.002940267,0.017794576,0.017798293,-0.0022540695,-0.010478433,0.008281132,0.018153574,-0.010340079,-0.005133192,-0.0030633968,-0.00522714
The Gray Man 2022,129,0.45,0.9,273,Action,0.0030489247,-0.006519118,-0.006760005,-0.008580582,-0.0030812602,-0.0045180516,0.0072409734,-0.0037815042,0.005501634,-0.0014220073,-0.004173317,0.00633318,0.010722558,0.0005107112,0.0042083343,0.002665556,-0.0036653944,0.010262485,-0.0014042661,-0.0033893653
Renfield,93,0.58,0.79,301,Horror,0.00440343,-0.0071548475,-0.01853007,0.007270324,0.0071443454,-0.007327272,-0.004393517,0.0074971705,0.004875053,-0.0067726327,-0.024393115,0.0121619245,-0.019439703,0.0014886257,0.01931211,0.004777757,0.006709107,-0.0030352192,0.0032621555,0.012025578
Meg 2 The Trench,116,0.27,0.73,182,Sci-fi,-0.007541982,-0.009811394,-0.008328658,0.00051246735,0.0018872388,-0.008379404,-0.009499937,0.0059740758,-0.008004564,0.011561675,-0.011686082,0.016170004,-0.01418631,0.012021298,-0.004491147,-0.00015997942,-0.0003663633,0.0022986422,0.006466082,-0.011071133
Jurassic World Dominion,147,0.29,0.77,403,Action,0.013169778,0.004951123,-0.015330842,-0.0032230676,0.00055154844,-0.014623438,-0.0007517429,-0.0138430195,-0.008343744,0.00688529,-0.0069370507,-0.006583658,-0.007530266,0.008656603,0.005415591,0.015985748,-0.00801034,0.002358107,0.00200724,-0.0058176136
Ant Man And The Wasp Quantumania,124,0.46,0.82,410,Action,-0.00626477,-0.006024648,-0.0010477931,-0.011796309,-0.00020558767,-0.0059434515,-0.012302795,0.011750874,0.0026601166,-0.007914668,-0.01628437,-0.0071547315,-0.001534499,0.008918767,-0.0029382906,-0.0030897306,0.0015968923,-0.022116771,0.0044700783,0.009256205
65,93,0.36,0.65,128,Sci-fi,0.00058913825,-0.012497153,-0.0002176866,0.0065797,-0.015212653,-0.016511278,0.006021279,-0.0057896674,0.013231191,-0.0080954125,0.011374628,0.007921641,0.018644938,-0.0047156624,0.006985108,0.006813398,0.008056503,-0.0030721975,-0.014396125,0.018160101
Operation Fortune Ruse De Guerre,114,0.51,0.82,151,Action,0.0073382296,-0.007392478,-0.005769904,-0.013047306,0.0050909473,-0.011634095,-0.000974657,-0.007077719,0.0014335625,0.0059623304,-0.00327298,0.011919042,0.00040676928,0.001865327,0.008003963,0.016753415,-0.008369779,-8.310843e-05,0.0054887077,-0.01053882
Batman V Superman Dawn Of Justice,153,0.29,0.63,439,Action,0.00565206,-0.0034976662,-0.005779861,-0.00734421,0.0143104745,0.0026854302,-0.012417642,0.00014214449,-0.0066845315,0.0050649815,0.010795161,-0.008126698,-0.0064908853,-0.0008130912,0.0035516298,0.011811264,-0.009844106,-0.008942625,0.0078566,-0.001125502
Expend4Bles,103,0.14,0.7,124,Action,0.013116427,-0.001964278,0.0025522155,-0.00037252455,0.007969811,-0.018341454,-0.0057011647,-0.013826792,-0.005612039,-0.012977364,0.008134785,0.012745172,-0.0027656346,-0.0018802322,0.0032243747,0.0027867502,0.0012105427,-0.006284781,0.0031857193,-0.010527991
Ava 2020 2,97,0.2,0.29,40,Action,-0.007064293,-0.009669282,-0.009940875,0.0054032644,-0.006505118,-0.0021904376,-0.011201238,0.004666756,0.007754763,0.008933638,-6.494224e-05,-0.0026089086,-0.0038282622,0.0087653035,-0.008338886,-0.014268169,0.003355705,0.00930677,0.0022761994,0.008030303
The Kings Man,131,0.4,0.8,183,Action,-0.0036830562,0.0026068627,0.0038873504,-0.015266463,0.014651698,-0.0144401,-0.005964279,-0.010938858,0.010951645,-0.0022050415,0.006417744,-0.010703886,-0.00028196984,0.00781364,0.011787722,-0.0076361126,0.0130334105,0.004597076,-0.006016528,-0.00443478
The Painter 2023,100,0.0,0.52,10,Mystery & thriller,0.007485544,-0.010029253,-0.004940319,0.0018215391,0.0017115977,0.0027436626,0.003661716,-0.0066621588,0.0018278591,-0.0029826933,0.009314547,-0.009935442,0.0029332084,-0.021045329,-0.0099321045,0.010537651,0.00662293,0.005694178,-0.009787956,0.0064289733
The Mummy 2017,107,0.15,0.35,317,Action,-0.0079476675,-0.018720862,-0.007860231,-0.023777071,0.0037438727,-0.0034619838,-0.011041622,0.0108459275,0.012613888,-0.014317227,-0.0015932794,0.011855961,0.02496333,-0.013900885,-0.006421488,-0.005326484,-0.0010567016,-0.0075070513,0.0038834375,0.000129851
Heart Of Stone 2023,122,0.3,0.51,136,Action,0.0017046503,0.014682558,-0.009482796,-0.002698162,0.0066873087,-0.0047566844,0.007858371,0.0031765166,0.0063581793,0.004309068,0.0034589819,0.0022567245,0.011531802,-0.0043481346,-0.00969323,0.0054236474,0.015599859,-0.002652581,-0.0048665893,-0.004666388
Kandahar 2023,119,0.45,0.82,102,Action,0.0021773253,0.0059022796,-0.0133702755,0.005406769,-0.00016595385,-0.009474282,-0.0013301447,0.0035092477,-0.0023102113,-0.0015331954,0.0031453785,0.00697307,-0.007586467,-0.004186481,0.015198618,0.0055169263,-0.00074967777,-0.01084542,-0.021650981,-0.00012615258
Equalizer 2,121,0.52,0.61,212,Action,-0.0003858654,0.0017625436,-0.0043308837,-0.00631513,-0.00651388,-0.00937058,-0.0087549705,-0.01079631,0.0020762822,-0.0071068793,0.011277544,-0.0034154332,-0.0041382117,0.0068359533,-0.0071743093,0.0037876288,-0.007408394,0.0074291946,0.0025979,0.007626003
Suicide Squad 2016,123,0.26,0.58,394,Action,-0.003759453,-0.0012671042,-0.01685961,-0.027708953,-0.0020457667,-0.016651554,-0.0053000185,-0.009797258,-0.0044183293,-0.0020622346,-0.0075951493,0.0032109474,0.013776277,-0.0067696394,-0.003711994,0.0031534291,0.0033125288,0.0022801529,-0.011728699,-0.014725776
Fast And Furious,107,0.28,0.67,179,Action,0.0063628615,-0.0063897567,0.0021993504,-0.0146357985,-0.0069568604,0.015066038,-0.00073864125,0.0026947097,0.0046489453,0.004301182,0.005510521,-0.021882745,0.010780001,-0.005941797,-0.009768924,0.009075788,0.0003789466,0.011481526,0.006462065,0.010107308
Superman Man Of Steel,143,0.56,0.75,344,Action,0.00720986,0.00847256,-0.00026922263,-0.0059625446,-0.00616486,-0.010314578,0.00724345,0.0007983457,-0.004309385,0.0023381088,-0.009860004,0.00035371073,0.0060761343,-0.0038351982,0.014950911,0.0001307629,0.003880142,0.0064623253,-0.0012872771,-0.00078760425
Godzilla King Of The Monsters 2019,132,0.42,0.83,352,Sci-fi,-0.007463532,-0.0105934385,-0.011690984,-0.01076778,-0.0021928847,-0.014499033,-0.0046270736,-0.021758478,0.0038795918,-0.0046204873,-0.0056432383,-0.008438469,-0.010645261,0.0063780593,-0.006810645,0.0044020605,0.005080213,0.0067704385,-0.0049147885,0.010870585
To Catch A Killer 2023,119,0.53,0.63,80,Action,-0.00045351405,0.009725722,0.01020691,-0.0021010146,-0.023028746,0.00498202,-0.019808501,-0.004167168,0.010946145,-0.011589805,-0.00037231445,-0.008752679,0.017434943,-0.016702926,-0.017443372,0.0078624245,-0.007204992,-0.0034149531,0.017353356,0.013435689
Star Wars Episode I The Phantom Menace,133,0.52,0.59,237,Sci-fi,-0.013367762,0.0063993586,-0.0011659067,-0.011687587,-0.003299003,0.0060233357,-0.022073392,-0.0018474951,0.00039925735,-0.011672588,0.0044300356,-0.0015500172,0.0013670168,-0.027205419,0.0086700125,0.020860204,-0.01682323,0.017727569,0.0018935802,-0.0002969321
F9,145,0.59,0.82,315,Action,-0.0067001567,0.00015984624,0.013395471,-0.009935176,0.01226891,-0.025309032,-0.020005222,0.0010873768,-0.00035731905,-0.010290694,-0.0038583234,-0.0005176237,0.0105149895,-0.014824629,-0.015623694,0.013806264,0.0009067744,0.020150306,0.016218679,0.009690355
Black Adam,125,0.38,0.88,304,Action,0.0057910183,0.00069228973,-0.01157629,0.012158745,0.0029978906,-0.0076531246,0.003498985,-0.0045617423,-0.013666958,-0.00039044968,0.012428646,0.021073874,0.009234047,-0.009910703,0.015638847,0.008903939,0.004322706,-0.0021444738,-0.012468001,-0.012412982
Shazam Fury Of The Gods,130,0.49,0.86,259,Action,0.00074341835,-0.0040306463,-0.002607848,-0.009606545,0.021220759,-0.022254903,-0.013573718,-0.0064706975,0.0007864853,-0.013660355,0.00014014784,0.0071434067,0.019477218,0.007246946,0.020158278,0.00015902259,-0.0062327967,0.0014063555,-0.0026873576,0.0009907801
The Interview 2014,111,0.51,0.48,156,Comedy,-0.00015714299,0.0013528496,-0.0029931706,-0.0067727575,0.0095765125,-0.00805412,-0.00780161,-0.00542962,-0.0106886085,0.004359336,-0.010562483,0.010394166,0.0021462685,0.0008972734,0.024116468,0.008469286,0.0036828958,0.0030611106,-0.0017273709,-0.011158638
Red Notice,117,0.37,0.92,175,Action,0.011508477,-0.002600403,0.008687252,0.0039956844,0.004623765,-0.015358378,0.004506817,0.0008425612,0.0023029814,0.009340008,-0.0022451484,0.0055907643,-0.007277645,0.008662695,0.0035487264,0.005780712,0.006306052,-0.0101417545,-0.009122968,-0.0006704166
The Accountant 2016,128,0.52,0.76,287,Mystery & thriller,-0.0014090873,-0.013342127,0.0061976137,-0.010492841,-0.013086905,0.00031962767,0.0013349026,0.005321449,0.0017018069,-0.014810815,0.0015559376,-0.0013408385,-0.0032046414,-0.00066371745,-0.0022081311,0.008546032,-0.000849811,0.0052496223,-0.003993134,0.0020849588
Pirates Of The Caribbean Dead Men Tell No Tales,123,0.3,0.6,293,Adventure,0.005107507,0.0023766602,-0.008809733,-0.013101374,-0.0025525119,0.004314391,0.006438206,-0.009829058,-0.0015426918,-0.0065795137,0.0041755736,-0.0015120206,0.0033825072,-0.006277685,0.005446708,-0.0027171175,0.013176389,-0.005400689,0.00039476863,0.016443308
Armageddon,150,0.43,0.73,177,Sci-fi,0.008940638,-0.014680083,-0.0017681941,0.0057491204,0.0030079267,0.013859389,0.015451412,-0.001999973,0.0062564416,0.008513845,0.0021687255,-0.0059836274,-0.0046850042,-0.016180689,0.015977371,0.013290793,0.00410889,0.0073810965,0.008666095,0.008469954
Justice League 2017,119,0.39,0.67,413,Action,-0.029459482,-0.00721403,-0.0046984917,-0.0055116927,0.011913297,-0.01154406,-0.012367461,0.006652914,-0.007253503,0.021414923,-0.002418248,0.006713161,-0.0131277265,0.007891677,-0.011711891,-0.015065764,-0.012011146,0.006814833,-0.008682167,-0.009975531
1108704-Planet Of The Apes,120,0.44,0.27,160,Sci-fi,0.0066668787,-0.0042023794,-0.00074147305,-0.0060916543,-0.0014316633,-0.0153300855,-0.002017447,0.0003594583,0.01481743,-0.007638885,0.0040063714,-0.0033210795,-0.00806967,0.01184945,0.010826951,0.00072532037,-0.010345502,0.008399909,-0.016404305,-0.0124744605
Underwater 2020,95,0.48,0.6,223,Sci-fi,0.0045246766,0.014896372,2.48041e-05,-0.00037843492,-0.011285317,-0.011282381,-0.013564134,0.007996606,-0.007096857,-0.010731949,0.009321173,0.000937777,-0.008086752,0.005720838,-0.015535057,0.005278453,-0.013698367,0.0070774616,-0.004184837,-0.0012975193
57 Seconds,99,0.13,0.47,8,Action,0.012792322,-0.002075763,0.0063820644,-0.014887017,-0.019912185,0.0023423182,0.0066854567,0.0042769564,0.008538028,0.0095848115,-0.005080041,0.0021756326,-0.014485841,-0.0014417429,0.008858008,-0.009209839,0.011298053,0.006294609,0.0059295073,-0.0025584693
Venom 2018,112,0.3,0.8,365,Action,-0.007980257,0.015701719,-0.0025694491,-0.014614778,-0.0020949896,0.004980826,0.0041363635,0.0243277,-0.005904702,0.010485533,0.008014404,-0.015481999,-0.0005705973,0.0002471311,-0.0060784384,-0.0076111495,-0.014811036,0.008374924,-0.0027045084,0.0066322805
Wanted Man,86,0.1,0.4,10,Action,0.000954704,-0.0044752844,0.00050273945,-0.0055106645,0.01280985,-0.0060228202,-0.00037332103,0.0101768095,0.0061043855,-0.014465818,-0.0008320689,0.021610472,-0.0031764347,-0.005847694,-0.005807028,-0.0019562081,0.004350408,0.010142331,-0.018885013,0.0052013188
The Machine 2023,112,0.32,0.87,25,Comedy,-0.007898413,0.0011880186,0.001562414,-0.025956195,-0.0027452451,0.004006281,0.011987926,-0.010469129,0.0035231276,0.0013285677,0.008915437,0.010540782,0.017456304,-0.00820127,0.0084926095,-0.0022647372,0.0058449283,0.017444959,0.0061256858,-0.0041534053
Fast And The Furious Tokyo Drift,104,0.37,0.69,142,Action,-0.0105920825,-0.008378314,0.010501752,0.0053951056,-0.00025597884,0.006273894,0.011041733,0.0045581544,0.0014616303,-0.0062301075,-0.016784245,0.00013065469,-0.011695771,-0.005309334,0.00039812588,-0.0103173945,0.0007263217,-0.010199783,-0.0130034145,0.010859227
In Time,109,0.37,0.51,177,Sci-fi,-0.0064727375,-0.005327083,0.0021989446,-0.00073615386,-0.020386066,-0.008674985,-0.008802903,-0.006846777,-0.0023859907,0.0010388012,0.0021207915,-0.0042700726,0.0056561064,0.007066629,-0.010141229,-0.0013516244,0.002853414,0.004200968,0.002353935,-0.010551467
Polar 2019,118,0.18,0.7,50,Mystery & thriller,0.01727247,-0.0006373022,-0.0021082622,0.015545875,-0.017186124,-0.014509985,0.01241002,-0.015326756,-0.0070007564,-0.003007567,-0.00088296423,-0.0049884664,-0.00079202827,0.0014965509,0.00070698775,-0.0065424056,0.009798134,-0.0017295189,0.014865229,-0.0012281198
Spiderhead,107,0.39,0.3,156,Sci-fi,-0.012313917,-0.004045169,-0.004689787,0.001594631,-0.008331953,-0.00516189,-0.010171098,0.0041996823,-0.01745783,0.008099439,-0.007140877,-0.0007628874,0.004203574,0.00070187426,0.011020511,0.0028168887,-0.0006735622,0.014892402,0.011738382,0.0007270815
How It Ends,113,0.17,0.17,18,Sci-fi,0.00083849876,0.0046390006,0.0022224865,-0.020997368,-0.0033660363,-0.0130073875,0.009879954,0.0012233354,0.005380411,-0.0045520696,0.000418609,-0.0018401705,-0.0068243844,-0.00834282,0.00259806,0.010856992,-0.0005998673,0.008959579,0.0027965792,0.0076430924
Pirates Of The Caribbean Dead Mans Chest,151,0.53,0.72,229,Adventure,-0.0066778525,-0.0028787055,0.005036326,-0.002506481,0.015528244,0.015602825,0.0034065067,0.006308104,-0.004428147,-0.0103202965,0.0028657883,-0.0067030834,0.009963612,-0.017888807,0.017755266,-0.012085671,0.0037929006,7.1597846e-05,-0.006831426,0.00047979894
The Meg,113,0.47,0.44,313,Sci-fi,0.00150433,-0.002235261,-0.004018212,-0.008724248,-0.0012994844,-0.0077600107,-0.0021887193,-0.014742039,0.0021878574,0.0038259872,0.005826122,-0.005518871,-0.01206224,-0.020026127,-0.005994391,0.014616336,0.0047593527,0.0015344148,0.013997729,0.0014044569
Hunter Killer,121,0.37,0.67,116,Action,0.0051444126,0.0023602012,-0.0010443805,-0.0043473886,-0.002818158,-0.011932403,-0.017521124,-0.00511664,-0.0005816159,-0.00562129,-0.0035713422,-0.0009936776,0.008716097,0.012524771,-0.006807808,-0.020287558,0.0008285567,0.0066008656,0.002644411,0.0044361106
The Hobbit The Battle Of The Five Armies,144,0.59,0.74,266,Fantasy,0.0021042423,0.008770315,-0.0013712535,-0.0127595905,-0.008590737,-0.0058479626,-0.011491282,-0.013353953,0.00020485165,-0.0016677564,0.009048789,0.002752053,-0.01215512,0.0006537327,0.00891346,0.00048654564,0.011192189,0.0152692245,0.006785749,-0.0021577778
The Tomorrow War,138,0.52,0.76,210,Sci-fi,0.009169564,-0.012620337,-0.009957101,0.0072423727,-0.010973331,0.0032857996,0.00044069922,-0.017234668,-0.0052156216,-0.004571789,0.011152059,0.003842602,-0.006354409,-0.0055830786,0.017211692,0.006965502,0.0003436882,0.002823783,0.0058545857,-0.005641622
The Book Of Eli,112,0.47,0.64,210,Adventure,0.008736799,-0.01215479,-0.01815716,0.011124037,0.0017519193,-0.007778,0.012125741,-0.008026417,-0.0027641195,0.0005339187,0.016461324,-0.0063975872,0.00037443227,-0.0072282953,0.01754171,0.0013791855,0.0067695887,0.0055041015,-0.013253285,0.005469959
The Giver,97,0.35,0.55,171,Drama,-0.014984183,-0.006734872,-0.01053436,0.003949172,0.0049971235,-0.008216331,-0.028021943,-0.007415524,0.010277574,-0.0075231716,0.011005951,-0.0078495145,0.016189825,0.0005288722,0.0041832523,0.0009976316,0.00387413,0.0010218285,-0.00958727,-0.008893033
Divergent,140,0.41,0.69,237,Sci-fi,-0.0013294831,-0.01802722,-0.013420696,0.0052592214,-0.0009457283,-0.0006632694,-0.016355615,0.0055853906,0.014462615,-0.0016717191,-0.012648379,0.010692494,0.008102508,-0.0030458681,0.0023617223,0.011112525,0.001966094,0.0017551914,0.0071415,0.0030400786
Pirates Of The Caribbean 3,168,0.44,0.72,228,Adventure,0.008534977,-0.0035689243,-0.0067603067,-0.006880018,0.0047008586,-0.0069970475,-0.0042337854,0.009884293,0.025135856,-0.009931643,-0.016100347,0.0006481189,0.010794254,-0.007633443,-0.0043903748,0.0065427967,0.0104016755,-0.0023392593,-0.007941219,-0.006301059
Guns Akimbo,95,0.52,0.4,71,Action,0.0005632971,0.00029091194,-0.0010940077,0.00092802255,-0.014861506,0.0013155084,0.004462407,0.0059946277,-0.0042307684,0.004070009,0.0023533776,0.00215497,-0.002794734,-0.01025745,-0.0013068042,0.0046169884,-0.0007531604,0.011763396,0.0011487479,0.005436917
1108372-Fast And The Furious,107,0.54,0.74,157,Action,-4.774239e-05,0.0065070405,0.008832944,-0.0138046695,0.00045985132,-0.014267017,0.009419962,0.004084476,-0.0026976,0.006088084,0.0010356626,-0.006165782,0.00039500408,0.0063327276,0.010881786,0.0025729132,0.002977773,0.0028339922,-0.009682997,-0.004319862
The Engineer 2023,93,0.0,0.24,5,Mystery & thriller,0.009917206,0.0063835783,-0.006065214,0.008533141,0.008747178,-0.0068052234,0.00440611,0.0064938264,-0.0023936455,0.008274222,-0.008686184,0.0031275942,-0.011346483,0.002114664,0.01001939,0.0012347214,-0.0036976426,-0.0109453965,-0.0074914843,-0.004780588
Pandorum,108,0.3,0.49,91,Sci-fi,-0.006628643,-0.0058352435,-0.007701074,0.015424708,0.013441843,0.004865257,0.006575906,0.018652529,0.008270922,0.002867048,-0.013834501,0.011115608,-0.016558392,0.004179797,-0.0027960476,0.0014615788,-0.0014897464,0.009291487,0.0026825876,-0.012290633
Anna 2019,119,0.33,0.81,73,Action,-0.011423315,-0.01532091,0.009377385,0.002208259,0.0027185332,-0.00894337,-0.010449742,-0.0054234597,0.0072613456,-0.0063182535,0.003851097,-0.013427012,0.007642393,-0.010143764,-0.013180521,0.011038646,-0.008143401,0.01186848,-0.0011041841,-0.0049918573
Black Crab,110,0.52,0.54,31,Action,-0.010093153,-0.009082183,0.0011745917,0.0015110455,-0.009882043,-0.010786054,-0.009559033,0.0044264877,0.0040569566,-0.009567967,-0.001729117,-0.0036854395,0.011932359,-0.011687549,-0.0168751,-0.0018512576,-0.008300501,0.01999749,0.018807922,0.010198941
Jurassic World Fallen Kingdom,128,0.46,0.48,434,Adventure,0.012047578,-0.00085778366,-0.0056093605,0.002805622,0.005753584,-0.021659713,0.008268747,-0.009345701,0.0025942393,0.00753057,0.014306721,0.0011785015,-0.004711645,0.0010479068,0.024623297,0.0036368915,0.005187771,-0.0015689794,-0.014864606,0.006492837
Kingsman The Golden Circle,141,0.5,0.64,309,Action,0.0030689246,0.0018103337,0.014875591,0.008401652,-0.004207614,-0.0081596775,0.007958539,-0.0021861794,-4.1676314e-05,-0.01058313,-0.005808208,-0.013707216,0.003966815,0.0013591971,0.001990006,-0.0020865467,0.0139154075,0.00151814,-0.007812742,0.0057485444
Pirates Of The Caribbean On Stranger Tides,136,0.33,0.54,278,Adventure,0.0020225947,0.016249886,-0.011514457,-0.0123368995,0.015370433,-0.007205263,0.00050299225,-0.023301993,0.0027702476,0.0065997667,-0.0062172906,0.009995289,0.0060450505,0.008909153,0.008174595,-0.012661429,0.013560146,-0.013061507,0.0040379832,-0.008603819
Infinite,106,0.17,0.34,83,Sci-fi,-0.011809782,0.009329535,-0.0073443754,0.014618473,0.0037713076,-0.0039765,0.0004096756,0.0017189092,-0.00012523867,0.0035995771,-0.012445893,-0.0018671952,0.007341571,0.0037605453,0.0057080183,-0.006922888,-8.1524064e-05,-0.009118256,-0.016325105,0.0005502423
6 Underground,127,0.36,0.6,98,Action,0.019784892,-0.0112351095,-0.0093607325,-0.0013630629,-0.004841037,-0.02353375,-0.005087693,-0.0065230206,-0.00020917617,4.7751142e-05,0.0028481944,-0.0076352633,0.01201137,0.01440077,0.00059575925,-0.015159736,-0.0019233543,0.004197186,-0.011658823,-0.00973786
Wonder Woman 1984,151,0.58,0.73,451,Action,-0.004886348,-0.0057716286,-0.002687088,0.0014268548,-0.0017087746,-0.009109239,0.0025300747,-0.009872982,0.008239013,0.005433632,-0.0007987117,-0.0043446175,0.008660793,0.021744873,0.018835913,-0.005856243,-0.00030127662,0.006980789,-0.0040870747,-0.0035909966
Troy,162,0.53,0.73,228,Adventure,0.008723872,-0.0058672954,-0.0038963873,0.0095835505,0.0059692343,-0.013308875,0.0017455649,-0.0031069603,-0.004534989,-0.00592677,0.015263222,-0.010739267,-0.005103727,-0.0007883262,0.009049466,0.0061654598,-0.008147864,-0.0050728,-0.009245304,-0.002989085
Valerian And The City Of A Thousand Planets,137,0.48,0.53,301,Sci-fi,0.007848922,-0.002824118,-0.0021285526,0.00095723587,-0.009952433,-0.00887938,0.0026435517,-0.009998664,-0.0007807504,0.012600708,-0.002222937,-0.00044116564,-0.0007163865,0.0039946125,-0.00021826662,0.0026301495,-0.013223924,-0.008058629,-0.00019831731,-0.00939936
