Title,Runtime,Tomato Meter,Audience Score,No. Reviews,Genre,Embedding-0,Embedding-1,Embedding-2,Embedding-3,Embedding-4,Embedding-5,Embedding-6,Embedding-7,Embedding-8,Embedding-9,Embedding-10,Embedding-11,Embedding-12,Embedding-13,Embedding-14,Embedding-15,Embedding-16,Embedding-17,Embedding-18,Embedding-19
The Wall 2017,90,0.65,0.42,125,War,-0.0023892175,-0.00894355,0.010838797,-0.012045944,0.00842106,-0.013457643,0.011204319,0.004993339,-0.0011535091,-0.012486294,-0.008565796,-0.007556575,0.010104963,0.00288171,0.00810341,-0.001626581,0.0053431476,0.0057823425,0.008152902,-0.0119227795
Master And Commander The Far Side Of The World,139,0.85,0.8,224,Adventure,0.0045325845,-0.008405043,-0.010742145,-0.011026901,-0.00035150087,-0.023719285,-0.007667093,-0.016330134,-0.0074336925,0.009778852,0.012414459,0.0058632726,0.008383466,0.0013895053,0.023188923,0.0042177625,0.0051227,0.012387983,0.004565207,0.011771774
Black Hawk Down,144,0.77,0.88,175,War,0.013353254,-0.006418746,-0.012139534,-0.0052548572,-0.0037022948,-0.0053701126,0.0005643034,-0.010369848,0.0024532594,0.0064746565,-0.00033111815,0.00016049556,-0.0024455283,0.004219806,0.019717278,-0.001113682,0.00029852503,-0.0036514602,-0.003406243,-0.011839226
Blood And Gold,100,0.85,0.68,13,Action,0.0073977835,0.0051985374,-0.0067694746,-0.0009971103,0.0027447168,-0.015736895,-0.014051336,0.00016104578,-0.004628429,-0.0075647146,0.0030551862,-0.00068943575,-0.010165587,-0.0032721385,0.00615082,-0.005422047,0.02018397,0.0046609854,-0.009328455,0.003485545
Three Kings,115,0.94,0.77,132,War,0.013749668,0.0009066163,0.0014023384,0.0013310219,0.010464549,-0.022170298,-0.0049922145,-0.012499047,-0.009507982,0.0013661783,0.009784965,-0.000826554,-0.0062251445,-0.00028085485,0.01619134,0.0058073727,0.011962617,-0.002935299,-0.018856525,-0.0035112589
Eye In The Sky,102,0.95,0.82,222,Mystery & thriller,-0.0030137482,0.006960237,0.0043655336,-0.011088664,-0.017385725,-0.008042993,-0.003948652,0.0038414306,-0.0044806027,-0.0018056998,-0.008285368,-0.014373939,-0.0050540385,-0.005464366,-0.023929507,0.0048780576,0.0032900318,0.0045409,-0.008222365,-0.00121047
Da 5 Bloods,155,0.92,0.53,314,Drama,0.00046643204,0.0045214533,0.00016045403,0.0025995073,0.0030398692,-0.0075899153,-0.0040085036,-0.0065892874,-0.0012494475,-0.0058583254,-0.004023374,-0.016976792,0.013448837,0.008160913,0.0028414603,0.0017230418,0.0015974191,-0.008318512,-0.00643024,-0.005340633
Lola 2023,79,0.97,0.64,39,Sci-fi,-0.008391407,-0.014980066,-0.0002894436,-0.02574117,-0.0187704,-0.011129056,0.003270796,-0.010978182,0.0008999972,0.0039778505,-0.007017228,0.0020581537,0.010755873,-0.0010713369,0.009193077,0.0009576278,0.008128512,0.0025541123,-0.026259828,0.0018161384
The Caine Mutiny Court Martial 2023,108,0.94,0.78,52,Drama,-0.0120037105,-0.015477145,0.0051669795,-0.013585577,0.013861658,-0.019760054,-0.0078127915,-0.007858037,0.0092502255,-0.0046489527,0.007168493,-0.0075448863,-0.00681954,-0.00716599,-0.00601811,0.002779239,-0.0011763268,0.009813899,0.008816547,0.0035381007
1152567-Jarhead,123,0.6,0.68,199,War,0.0033147908,0.0070736734,-0.0033789813,-0.0003990382,0.007545872,-0.013749778,-0.013226032,0.0077616572,0.0029937944,0.0027519092,0.007954903,-0.0034708963,0.009970351,0.0024484217,0.0007699402,-0.0109918285,-0.00053056685,-0.0017546688,0.0079355035,0.0010672465
Sniper The White Raven,111,0.75,0.69,20,War,0.011721575,0.00011494309,0.008309098,-0.000844266,0.013708395,-0.017011095,-0.0044025946,0.0034119033,-0.00052816456,-0.008450372,-0.0012899947,-0.014187041,-0.011118107,-0.012788633,0.0140355285,0.0093941325,-0.0054321787,-0.0066452534,-0.0064366967,0.00044569746
Das Boot,150,0.98,0.96,58,War,-0.0016391564,-0.0116337985,-0.018179132,0.0037616857,-0.012843626,0.001478067,-0.009853291,0.008345143,0.009737315,-0.011057655,0.009386274,-0.003825501,-0.010263072,-0.016104862,-0.0059826784,-0.008702676,0.0050431034,0.009918432,0.011703448,0.0060833055
Kingdom,134,0.94,0.96,16,Action,0.0014020536,-0.0022896815,-0.005240864,-0.0021588278,0.0049371794,-0.0036062028,-0.009123844,0.015713347,-0.003699453,-0.012372756,0.0079850685,-0.0035251337,0.012359601,-0.019704709,-0.012199553,0.016844887,0.0006044839,0.020478217,0.010294678,-0.0009856231
1031087-Memphis Belle,108,0.68,0.79,25,War,0.00010411888,-0.0152751375,-0.011373313,-0.009035473,0.0021103353,-0.026989942,-0.006658907,-0.001941494,-0.003385709,-0.006456168,-0.010879137,-0.009792371,0.0037188441,0.0021357336,0.013229514,-0.0069451868,0.015415048,0.0039350097,0.0050402125,-0.003528038
Cold Mountain,155,0.7,0.77,231,Drama,0.0064380467,-0.015664363,0.005724878,-0.016192187,0.0155438725,-0.016026178,-0.011303688,0.015760684,0.0024405532,0.008269204,-0.02135381,0.009871102,-0.0047340067,-0.001840942,0.0046445355,0.00352475,-0.018492281,0.0047814995,0.011394948,-0.014105308
Paths Of Glory,86,0.96,0.95,75,War,0.007652925,0.003177847,-0.012739589,0.0025603478,0.003675662,-0.00045161974,-0.018250376,0.014609422,0.0009900176,0.012081399,-0.011639189,-0.0039914236,0.005938018,-0.011696259,0.0003113363,0.008326827,0.013639045,-0.0047979644,-0.014619435,-0.0066893958
Beasts Of No Nation,136,0.91,0.92,150,War,0.0041020624,-0.0054422906,-0.004286745,-0.0007071638,-0.0017029572,0.0020483462,0.0061785853,0.006296868,0.0049519045,-0.0016343996,-0.00715669,3.720857e-05,-0.009160645,-0.014912153,-0.009219607,0.00991944,-0.0027570282,0.005441229,0.0006227478,-0.0031098486
The Great Escape,172,0.94,0.95,54,War,-0.013131631,-0.008072908,-0.011899445,0.0051537976,-0.00618106,-0.0025715684,-0.014237101,0.008654162,0.0038897446,-0.014126649,-0.0008065485,0.0012176981,-0.008100493,-0.011187537,-0.005730772,0.0075050956,0.00019751179,-0.0008948231,-0.0005884506,0.004125209
Bridge On The River Kwai,161,0.96,0.93,105,War,0.013192875,0.0032141241,-0.0019947947,-0.013678419,0.015948502,-0.006025086,-0.004747262,0.0055713756,0.013374443,0.0092270505,0.0032083734,0.007607878,0.0010704469,0.001225818,0.0012694396,0.0015654998,0.008623991,0.004528562,-0.005460146,-0.0005698408
White Ribbon,144,0.85,0.79,149,Drama,0.017774127,0.00046861108,0.010294008,-0.011999021,-0.0009820933,-0.0010059997,0.0140599655,0.0018988537,-0.00243152,0.0009216041,0.0076760016,-0.01909417,0.008365185,-0.0014746313,-0.008445547,0.015909992,-0.0027905288,-0.01813929,0.005228758,0.011722582
Shadow In The Cloud,83,0.77,0.32,132,Action,0.0010766002,-0.003818921,-0.0048585967,-0.0014496306,0.0015151814,-0.006491116,-0.007611642,0.0047013736,-0.009614629,-0.0025820485,-0.0045583076,0.0024670493,0.00023825056,0.0030133196,0.01158892,0.0076290006,0.0084022805,-0.0011611123,-0.009001193,-0.0005970815
All Quiet On The Western Front,105,0.98,0.89,90,War,0.0159933,-0.010199149,-0.019915208,0.0012465963,0.0026735172,-0.012096922,0.0049126945,-0.018717552,-0.003644993,0.0013792721,0.011198623,0.0004265625,0.004101845,0.0009540884,-0.007490265,0.0055194194,0.0034168158,0.0058678985,0.0034460716,0.0019848442
Mosul 2020,86,0.84,0.83,32,Mystery & thriller,-0.0033622463,-0.007502484,-0.00088911614,-0.011528937,0.0024307496,-0.027687043,0.007053086,-0.0039307224,0.008116914,0.016926747,0.017099585,0.02242156,0.0029473677,0.0046233083,-0.0011579152,-0.00094479846,0.00871958,0.0033043486,-0.009912906,0.009011467
