,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
219,Kingsman The Secret Service,"Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing estate and seems headed for a life behind bars. However, dapper agent Harry Hart (Colin Firth) recognizes potential in the youth and recruits him to be a trainee in the secret service. Meanwhile, villainous Richmond Valentine (Samuel L. Jackson) launches a diabolical plan to solve the problem of climate change via a worldwide killing spree.", English, 2h 9m, Matthew Vaughn," Jane Goldman, Matthew Vaughn","['Colin Firth', 'Harry Hart', 'Michael Caine', 'Arthur', 'Taron Egerton', 'Gary ""Eggsy"" Unwin', 'Samuel L. Jackson', 'Richmond Valentine', 'Mark Strong', 'Merlin', 'Sofia Boutella', 'Gazelle']",75%,84%,267," Action, Adventure, Comedy",https://www.rottentomatoes.com/m/kingsman_the_secret_service
220,Black Widow 2021,"In Marvel Studios' action-packed spy thriller ""Black Widow,"" Natasha Romanoff aka Black Widow confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.", English, 2h 13m, Cate Shortland, Eric Pearson,"['Scarlett Johansson', 'Natasha Romanoff, Black Widow', 'Florence Pugh', 'Yelena Belova', 'David Harbour', 'Alexei Shostakov, Red Guardian', 'Rachel Weisz', 'Melina Vostokoff', 'Ray Winstone', 'Dreykov', 'O.T. Fagbenle', 'Mason']",79%,91%,456," Action, Adventure",https://www.rottentomatoes.com/m/black_widow_2021
221,Mr And Mrs Smith,"John (Brad Pitt) and Jane Smith (Angelina Jolie), a couple in a stagnating marriage, live a deceptively mundane existence. However, each has been hiding a secret from the other: they are assassins working for adversarial agencies. When they are both assigned to kill the same target, Benjamin Danz (Adam Brody), the truth comes to the surface. Finally free from their cover stories, they discover that they have been assigned to kill each other, sparking a series of explosive attacks.", English, 2h 0m, Doug Liman, Simon Kinberg,"['Brad Pitt', 'John Smith', 'Angelina Jolie', 'Jane Smith', 'Vince Vaughn', 'Eddie', 'Adam Brody', 'Benjamin Danz', 'Kerry Washington', 'Jasmine', 'Keith David', 'Father']",60%,58%,212," Action, Romance, Comedy",https://www.rottentomatoes.com/m/mr_and_mrs_smith
222,Ready Player One,"In 2045, the planet is on the brink of chaos and collapse, but people find salvation in the OASIS, an expansive virtual reality universe created by James Halliday. When Halliday dies, he promises his immense fortune to the first person to discover a digital Easter egg that's hidden somewhere in the OASIS. When young Wade Watts joins the contest, he finds himself becoming an unlikely hero in a reality-bending treasure hunt through a fantastical world of mystery, discovery and danger.", English, 2h 20m, Steven Spielberg," Ernest Cline, Zak Penn","['Tye Sheridan', 'Parzival, Wade', 'Olivia Cooke', 'Art3mis, Samantha', 'Ben Mendelsohn', 'Sorrento', 'Lena Waithe', 'Aech, Helen', 'T.J. Miller', 'I-R0k', 'Simon Pegg', 'Ogden Morrow']",72%,77%,446," Sci-fi, Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/ready_player_one
223,Godzilla Resurgence,A mysterious monster emerges from Tokyo Bay and wreaks havoc upon Japan., Japanese, 2h 0m," Hideaki Anno, Shinji Higuchi", Hideaki Anno,"[""Shin'ya Tsukamoto"", 'Biologist', 'Satomi Ishihara', 'Kayoko Ann Patterson', 'Jun Kunimura', 'Official of Japan Self-Defense Force', 'Hiroki Hasegawa', 'Rando Yaguchi', 'Takahiro Miura', 'Journalist', 'Kengo Kôra', 'Yusuke Shimura']",86%,75%,74," Sci-fi, Action",https://www.rottentomatoes.com/m/godzilla_resurgence
224,Terminator,"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill Sarah Connor (Linda Hamilton). Sent to protect Sarah is Kyle Reese (Michael Biehn), who divulges the coming of Skynet, an artificial intelligence system that will spark a nuclear holocaust. Sarah is targeted because Skynet knows that her unborn son will lead the fight against them. With the virtually unstoppable Terminator in hot pursuit, she and Kyle attempt to escape.", English, 1h 48m, James Cameron," James Cameron, Gale Anne Hurd","['Arnold Schwarzenegger', 'The Terminator', 'Linda Hamilton', 'Sarah Connor', 'Michael Biehn', 'Kyle Reese', 'Paul Winfield', 'Lieutenant Ed Traxler', 'Lance Henriksen', 'Detective Vukovich', 'Rick Rossovich', 'Matt Buchanan']",100%,89%,69," Sci-fi, Action, Mystery & thriller",https://www.rottentomatoes.com/m/terminator
225,Jack Reacher,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The man's interrogation yields one statement: Get Jack Reacher (Tom Cruise). Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney (Rosamund Pike). However, the more Reacher delves into the case, the less clear-cut it appears.", English, 2h 10m, Christopher McQuarrie, Christopher McQuarrie,"['Tom Cruise', 'Jack Reacher', 'Rosamund Pike', 'Helen Rodin', 'Robert Duvall', 'Cash', 'Richard Jenkins', 'D.A. Rodin', 'Werner Herzog', 'The Zec', 'David Oyelowo', 'Detective Emerson']",63%,67%,186," Action, Mystery & thriller",https://www.rottentomatoes.com/m/jack_reacher
226,Lucy 2014,"When a boyfriend tricks Lucy (Scarlett Johansson) into delivering a briefcase to a supposed business contact, the once-carefree student is abducted by thugs who intend to turn her into a drug mule. She is surgically implanted with a package containing a powerful chemical, but it leaks into her system, giving her superhuman abilities, including telekinesis and telepathy. With her former captors in pursuit, Lucy seeks out a neurologist (Morgan Freeman), who she hopes will be able to help her.", English, 1h 28m, Luc Besson, Luc Besson,"['Scarlett Johansson', 'Lucy', 'Morgan Freeman', 'Professor Samuel Norman', 'Choi Min-sik', 'Mr. Jang', 'Amr Waked', 'Capt. Pierre Del Rio', 'Julian Rhind-Tutt', 'The Limey', 'Pilou Asbæk', 'Richard']",66%,47%,241," Action, Mystery & thriller, Sci-fi",https://www.rottentomatoes.com/m/lucy_2014
227,Taken,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his worst fears become real when sex slavers abduct Kim and her friend shortly after they arrive in Paris for vacation. With just four days until Kim will be auctioned off, Bryan must call on every skill he learned in black ops to rescue her.", English, 1h 31m, Pierre Morel," Luc Besson, Robert Mark Kamen","['Liam Neeson', 'Bryan', 'Maggie Grace', 'Kim', 'Famke Janssen', 'Lenore', 'Leland Orser', 'Sam', 'Jon Gries', 'Casey', 'David Warshofsky', 'Bernie']",60%,85%,178," Action, Mystery & thriller",https://www.rottentomatoes.com/m/taken
228,Django Unchained 2012,"Two years before the Civil War, Django (Jamie Foxx), a slave, finds himself accompanying an unorthodox German bounty hunter named Dr. King Schultz (Christoph Waltz) on a mission to capture the vicious Brittle brothers. Their mission successful, Schultz frees Django, and together they hunt the South's most-wanted criminals. Their travels take them to the infamous plantation of shady Calvin Candie (Leonardo DiCaprio), where Django's long-lost wife (Kerry Washington) is still a slave.", English, 2h 45m, Quentin Tarantino, Quentin Tarantino,"['Jamie Foxx', 'Django', 'Christoph Waltz', 'Dr. King Schultz', 'Leonardo DiCaprio', 'Calvin Candie', 'Samuel L. Jackson', 'Stephen', 'Kerry Washington', 'Broomhilda von Shaft', 'Walton Goggins', 'Billy Crash']",87%,92%,298," Western, Drama, Action",https://www.rottentomatoes.com/m/django_unchained_2012
